thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.48333333333333334)],[np.float64(0.2966666666666667)],[1],[0],[0],[1.9927818329997535],['target'],0,0,0,0,0.13713804199869628,,10,0.11861316700014868,0.13713804199869628,0.13713804199869628,0.11863112500213902,2.1114711669979442,[np.float64(0.48333333333333334)],[np.float64(0.2966666666666667)],[1],[0],[0],[1.9927818329997535],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
1,0,1,[np.float64(-0.13777777777777778)],[np.float64(-0.12444444444444444)],[1],[0],[0],[1.50971225000103],['target'],1,0,1,0,2.1752605000001495,,10,2.1661185000011756,2.1752605000001495,2.1752605000001495,0.05441262499880395,3.675887875000626,[np.float64(-0.13777777777777778)],[np.float64(-0.12444444444444444)],[1],[0],[0],[1.50971225000103],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
2,0,2,[np.float64(0.4022222222222222)],[np.float64(0.4866666666666667)],[1],[0],[0],[1.8832491659995867],['target'],2,0,2,0,3.715482042000076,,5,3.708867166998971,3.715482042000076,3.715482042000076,0.03280429100050242,5.592180833999009,[np.float64(0.4022222222222222)],[np.float64(0.4866666666666667)],[1],[0],[0],[1.8832491659995867],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
3,0,3,[np.float64(0.2222222222222222)],[np.float64(0.034444444444444444)],[1],[0],[0],[1.6044547079982294],['target'],3,0,3,0,5.628953291998187,,5,5.622106167000311,5.628953291998187,5.628953291998187,0.029802958000800572,7.226636167000834,[np.float64(0.2222222222222222)],[np.float64(0.034444444444444444)],[1],[0],[0],[1.6044547079982294],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
4,0,4,[np.float64(0.22333333333333333)],[np.float64(-0.21777777777777776)],[1],[0],[0],[1.1987515420005366],['target'],4,0,4,0,7.3032912089984166,,10,7.293597791998764,7.3032912089984166,7.3032912089984166,0.06678191700120806,8.492396417001146,[np.float64(0.22333333333333333)],[np.float64(-0.21777777777777776)],[1],[0],[0],[1.1987515420005366],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
5,0,5,[np.float64(0.0011111111111111111)],[np.float64(-0.11222222222222222)],[1],[0],[0],[0.7651274999989255],['target'],5,0,5,0,8.53190454200012,,5,8.525653624998085,8.53190454200012,8.53190454200012,0.03309066600195365,9.290847166997992,[np.float64(0.0011111111111111111)],[np.float64(-0.11222222222222222)],[1],[0],[0],[0.7651274999989255],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
6,0,6,[np.float64(0.38)],[np.float64(0.08222222222222222)],[1],[0],[0],[1.223400374998164],[None],6,0,6,0,9.360805583997717,,10,9.351711167000758,9.360805583997717,9.360805583997717,0.06068816599872662,10.575169249997998,[np.float64(0.38)],[np.float64(0.08222222222222222)],[1],[0],[0],[1.223400374998164],[None],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
7,0,7,[np.float64(-0.13)],[np.float64(-0.47888888888888886)],[1],[0],[0],[1.9923098330000357],['target'],7,0,7,0,10.64213862500037,,10,10.632904792000772,10.64213862500037,10.64213862500037,0.05756179200034239,12.625272166998911,[np.float64(-0.13)],[np.float64(-0.47888888888888886)],[1],[0],[0],[1.9923098330000357],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
8,0,8,[np.float64(0.42444444444444446)],[np.float64(0.021111111111111112)],[1],[0],[0],[2.2612466669997957],['target'],8,0,8,0,12.689802708999196,,10,12.68088170899864,12.689802708999196,12.689802708999196,0.05543674999717041,14.94218304199967,[np.float64(0.42444444444444446)],[np.float64(0.021111111111111112)],[1],[0],[0],[2.2612466669997957],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
9,0,9,[np.float64(-0.11777777777777777)],[np.float64(0.05555555555555555)],[1],[0],[0],[1.1773355410005024],['target'],9,0,9,0,15.007050125001115,,10,14.997867083999154,15.007050125001115,15.007050125001115,0.05551391599874478,16.175254834000953,[np.float64(-0.11777777777777777)],[np.float64(0.05555555555555555)],[1],[0],[0],[1.1773355410005024],['target'],1,001,2025-09-29_15h50.13.990,Visual Search Experiment,,2025.1.1,None,2025-09-29 15h50.22.700014 +0530,
