l_image,r_image,target_sound,correct,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,start_l_rect.started,start_r_rect.started,start_l_image.started,start_r_image.started,star.started,start_mouse.started,start.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trial_sound.started,trial_mouse.started,trial_sound.stopped,trial.stopped,trials.trial_mouse.x,trials.trial_mouse.y,trials.trial_mouse.leftButton,trials.trial_mouse.midButton,trials.trial_mouse.rightButton,trials.trial_mouse.time,trials.trial_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/dog.png,stimuli/pig.png,stimuli/dog.wav,stimuli/dog.png,0,0,0,[np.float64(-0.0044444444444444444)],[np.float64(0.03777777777777778)],[1],[0],[0],[0.43773116698139347],['star'],[np.float64(-0.38222222222222224)],[np.float64(-0.05555555555555555)],[1],[0],[0],[1.7822272920166142],"['left_image', 'left_rectangle']",0,0,0,0,0.14134587498847395,,0.11375250000855885,0.14134587498847395,0.14134587498847395,0.14134587498847395,0.14134587498847395,0.14134587498847395,0.1137892090191599,0.5520212090050336,[np.float64(-0.0044444444444444444)],[np.float64(0.03777777777777778)],[1],[0],[0],[0.43773116698139347],['star'],0.6121834169898648,0.6188925839960575,0.6188925839960575,0.6188925839960575,0.6188925839960575,0.6128438756723579,0.05996412498643622,2.2069596250075847,2.3948255839932244,[np.float64(-0.38222222222222224)],[np.float64(-0.05555555555555555)],[1],[0],[0],[1.7822272920166142],"['left_image', 'left_rectangle']",11,001,2025-11-18_19h33.54.886,animal words,,2025.1.1,None,2025-11-18 19h34.04.096691 +0530,
stimuli/penguin.png,stimuli/tiger.png,stimuli/tiger.wav,stimuli/tiger.png,1,1,0,[np.float64(0.017777777777777778)],[np.float64(0.0077777777777777776)],[1],[0],[0],[0.6939289169968106],['star'],[np.float64(0.3422222222222222)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[1.6262278340000194],"['right_image', 'right_rectangle']",0,1,1,1,2.4363424589973874,,2.430230625002878,2.4363424589973874,2.4363424589973874,2.4363424589973874,2.4363424589973874,2.4363424589973874,0.03520137499435805,3.1245355419814587,[np.float64(0.017777777777777778)],[np.float64(0.0077777777777777776)],[1],[0],[0],[0.6939289169968106],['star'],3.167339791980339,3.172949542000424,3.172949542000424,3.172949542000424,3.172949542000424,3.172255958995083,0.042634750017896295,4.763180249981815,4.79394741699798,[np.float64(0.3422222222222222)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[1.6262278340000194],"['right_image', 'right_rectangle']",11,001,2025-11-18_19h33.54.886,animal words,,2025.1.1,None,2025-11-18 19h34.04.096691 +0530,
stimuli/pig.png,stimuli/dog.png,stimuli/pig.wav,stimuli/pig.png,2,2,0,[np.float64(0.03)],[np.float64(0.0)],[1],[0],[0],[0.8483752500033006],['star'],[np.float64(-0.29)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.313830125000095],"['left_image', 'left_rectangle']",0,2,2,2,4.830530374980299,,4.8244496249826625,4.830530374980299,4.830530374980299,4.830530374980299,4.830530374980299,4.830530374980299,0.030329083994729444,5.673092791985255,[np.float64(0.03)],[np.float64(0.0)],[1],[0],[0],[0.8483752500033006],['star'],5.709220541990362,5.7137984999862965,5.7137984999862965,5.7137984999862965,5.7137984999862965,5.72191541698412,0.03596837498480454,,7.023342959000729,[np.float64(-0.29)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.313830125000095],"['left_image', 'left_rectangle']",11,001,2025-11-18_19h33.54.886,animal words,,2025.1.1,None,2025-11-18 19h34.04.096691 +0530,
stimuli/tiger.png,stimuli/penguin.png,stimuli/penguin.wav,stimuli/penguin.png,3,3,0,[np.float64(-0.006666666666666667)],[np.float64(0.04888888888888889)],[1],[0],[0],[0.9182193749875296],['star'],[np.float64(0.4177777777777778)],[np.float64(-0.058888888888888886)],[1],[0],[0],[1.0444457919802517],"['right_image', 'right_rectangle']",0,3,3,3,7.064261083985912,,7.0579620839853305,7.064261083985912,7.064261083985912,7.064261083985912,7.064261083985912,7.064261083985912,0.027210332977119833,7.97653229199932,[np.float64(-0.006666666666666667)],[np.float64(0.04888888888888889)],[1],[0],[0],[0.9182193749875296],['star'],8.016804041981231,8.021717083989643,8.021717083989643,8.021717083989643,8.021717083989643,8.025569000001997,0.040098583995131776,,9.061623583984328,[np.float64(0.4177777777777778)],[np.float64(-0.058888888888888886)],[1],[0],[0],[1.0444457919802517],"['right_image', 'right_rectangle']",11,001,2025-11-18_19h33.54.886,animal words,,2025.1.1,None,2025-11-18 19h34.04.096691 +0530,
