reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15.0,35.0,13.0,0,0,0,t,13.093902957974933,None,0,0,0,1,0.13513350003631786,,0.12213874998269603,0.13513350003631786,1.0037952500279061,1.0037952500279061,1.1286845420254394,14.612052124983165,t,13.093902957974933,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
67.0,75.0,119.0,1,1,0,l,8.584801833028905,None,0,1,1,5,14.670040542026982,,14.618976125027984,14.670040542026982,15.606686167011503,15.606686167011503,15.66132616699906,24.202533458999824,l,8.584801833028905,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
40.0,55.0,62.0,2,2,0,t,4.785664124996401,None,0,2,2,3,24.23632316698786,,24.221397250017617,24.23632316698786,25.198609874991234,25.198609874991234,25.22941108403029,29.99385283398442,t,4.785664124996401,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
27.0,50.0,21.0,3,3,0,l,5.989166915998794,None,0,3,3,2,30.017544333997648,,30.007683000003453,30.017544333997648,30.99031870899489,30.99031870899489,31.018118209030945,36.99376658402616,l,5.989166915998794,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
49.0,60.0,89.0,4,4,0,t,4.735995958035346,None,0,4,4,4,37.013459375011735,,37.004898542014416,37.013459375011735,37.98989750002511,37.98989750002511,38.006567667005584,42.731502292037476,t,4.735995958035346,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
11.0,30.0,7.0,5,5,0,l,3.3543245820328593,None,0,5,5,0,42.75080766703468,,42.7410198340076,42.75080766703468,43.73173187498469,43.73173187498469,43.74411366699496,47.09472929203184,l,3.3543245820328593,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
78.0,80.0,162.0,6,6,0,t,3.1687343739904463,None,0,6,6,6,47.11839754198445,,47.10705212503672,47.11839754198445,48.08969662501477,48.08969662501477,48.11256841698196,51.263543125009164,t,3.1687343739904463,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
11.0,30.0,7.0,7,0,1,l,5.116078582999762,None,1,0,7,0,51.279400250001345,,51.26976295898203,51.279400250001345,52.26447787502548,52.26447787502548,52.273376292025205,57.40694570902269,l,5.116078582999762,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
67.0,75.0,119.0,8,1,1,t,3.0158810829743743,None,1,1,8,5,57.4222991670249,,57.41345774999354,57.4222991670249,58.39370920899091,58.39370920899091,58.40967537503457,61.426799584005494,t,3.0158810829743743,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
78.0,80.0,162.0,9,2,1,t,2.9105068330536596,None,1,2,9,6,61.44968595902901,,61.44056212500436,61.44968595902901,62.42307570902631,62.42307570902631,62.44293616700452,65.3436462500249,t,2.9105068330536596,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
49.0,60.0,89.0,10,3,1,t,3.540209833008703,None,1,3,10,4,65.39961104199756,,65.35440620902227,65.39961104199756,66.3399494169862,66.3399494169862,66.39413908403367,69.89777545898687,t,3.540209833008703,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
15.0,35.0,13.0,11,4,1,l,3.228256832982879,None,1,4,11,1,69.9159761670162,,69.90534337499412,69.9159761670162,70.89821091701742,70.89821091701742,70.91014833399095,74.14068583399057,l,3.228256832982879,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
40.0,55.0,62.0,12,5,1,t,4.267093540984206,None,1,5,12,3,74.15957804198842,,74.1479140840238,74.15957804198842,75.13106049998896,75.13106049998896,75.15657358401222,79.41022108402103,t,4.267093540984206,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
27.0,50.0,21.0,13,6,1,l,2.7995824579847977,None,1,6,13,2,79.42963725002483,,79.41869483399205,79.42963725002483,80.40673625003546,80.40673625003546,80.42315662500914,83.208891458984,l,2.7995824579847977,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
15.0,35.0,13.0,14,0,2,t,3.9601939159911126,None,2,0,14,1,83.2272998340195,,83.21548983402317,83.2272998340195,84.2066126249847,84.2066126249847,84.2230064169853,88.19511883403175,t,3.9601939159911126,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
67.0,75.0,119.0,15,1,2,t,3.2598930000094697,None,2,1,15,5,88.21170475002145,,88.20247516699601,88.21170475002145,89.19563970901072,89.19563970901072,89.2056631250307,92.47379133402137,t,3.2598930000094697,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
11.0,30.0,7.0,16,2,2,l,2.9039330820087343,None,2,2,16,0,92.48591195902554,,92.47843087499496,92.48591195902554,93.4636874590069,93.4636874590069,93.47862954199081,96.37652379198698,l,2.9039330820087343,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
40.0,55.0,62.0,17,3,2,t,3.175144374021329,None,2,3,17,3,96.39429220900638,,96.38422804203583,96.39429220900638,97.37305691698566,97.37305691698566,97.39046383398818,100.56083191698417,t,3.175144374021329,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
78.0,80.0,162.0,18,4,2,t,1.938854166015517,None,2,4,18,6,100.57726958399871,,100.56597774999682,100.57726958399871,101.5564127920079,101.5564127920079,101.57308662502328,103.5003852500231,t,1.938854166015517,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
27.0,50.0,21.0,19,5,2,l,4.843602708016988,None,2,5,19,2,103.51831666700309,,103.50803883402841,103.51831666700309,104.49712416698458,104.49712416698458,104.51194145902991,109.35402558400529,l,4.843602708016988,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
49.0,60.0,89.0,20,6,2,t,4.649967290984932,None,2,6,20,4,109.37356695899507,,109.36370820901357,109.37356695899507,110.34606816701125,110.34606816701125,110.37186362501234,115.01117449998856,t,4.649967290984932,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
11.0,30.0,7.0,21,0,3,l,1.4883817490190268,None,3,0,21,0,115.03381308401003,,115.02148204203695,115.03381308401003,116.00670195900602,116.00670195900602,116.02764504199149,117.50778404198354,l,1.4883817490190268,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
78.0,80.0,162.0,22,1,3,t,2.2686002909904346,None,3,1,22,6,117.52515712502645,,117.51375958399149,117.52515712502645,118.50641641701804,118.50641641701804,118.5234191250056,120.78094179200707,t,2.2686002909904346,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
27.0,50.0,21.0,23,2,3,t,4.1396801240043715,None,3,2,23,2,120.79875791701488,,120.78845212497981,120.79875791701488,121.78043358400464,121.78043358400464,121.79565904202173,125.92572762502823,t,4.1396801240043715,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
15.0,35.0,13.0,24,3,3,l,1.8992757080122828,None,3,3,24,1,125.94192250003107,,125.93184904201189,125.94192250003107,126.92292829201324,126.92292829201324,126.93976783403195,128.82508704200154,l,1.8992757080122828,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
67.0,75.0,119.0,25,4,3,t,1.631020915985573,None,3,4,25,5,128.8405075839837,,128.83092762500746,128.8405075839837,129.8232522920007,129.8232522920007,129.82962620898616,131.4588805839885,t,1.631020915985573,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
40.0,55.0,62.0,26,5,3,t,3.14704420795897,None,3,5,26,3,131.4766171250376,,131.46569195901975,131.4766171250376,132.45635095902253,132.45635095902253,132.47313087503426,135.60986841702834,t,3.14704420795897,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
49.0,60.0,89.0,27,6,3,t,2.787303499004338,None,3,6,27,4,135.6274621670018,,135.61792983399937,135.6274621670018,136.60518837498967,136.60518837498967,136.62224991701078,139.39570774999447,t,2.787303499004338,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
78.0,80.0,162.0,28,0,4,t,1.6532363739679568,None,4,0,28,6,139.4132979999995,,139.40311054198537,139.4132979999995,140.3941786250216,140.3941786250216,140.4106904999935,142.06079179199878,t,1.6532363739679568,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
67.0,75.0,119.0,29,1,4,t,1.7424723749863915,None,4,1,29,5,142.0823226670036,,142.0710390000022,142.0823226670036,143.07291312498273,143.07291312498273,143.09005854203133,144.8240620419965,t,1.7424723749863915,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
40.0,55.0,62.0,30,2,4,t,2.0073903330485336,None,4,2,30,3,144.84229395899456,,144.83034937502816,144.84229395899456,145.81388254201738,145.81388254201738,145.83974999998463,147.82784795900807,t,2.0073903330485336,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
11.0,30.0,7.0,31,3,4,l,2.9070759580354206,None,4,3,31,0,147.84902787499595,,147.83611533400835,147.84902787499595,148.8231304170331,148.8231304170331,148.84552112501115,151.74732404202223,l,2.9070759580354206,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
15.0,35.0,13.0,32,4,4,l,3.125472457963042,None,4,4,32,1,151.77820808399701,,151.75995300000068,151.77820808399701,152.74664458399639,152.74664458399639,152.77321195899276,155.87564845901215,l,3.125472457963042,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
27.0,50.0,21.0,33,5,4,l,3.7217592489905655,None,4,5,33,2,155.89120070898207,,155.88295083399862,155.89120070898207,156.8730507090222,156.8730507090222,156.889701624983,160.59788712498266,l,3.7217592489905655,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
49.0,60.0,89.0,34,6,4,t,2.3660074989893474,None,4,6,34,4,160.6155688749859,,160.60405462502968,160.6155688749859,161.59610583400354,161.59610583400354,161.6117341670324,163.9644257919863,t,2.3660074989893474,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
49.0,60.0,89.0,35,0,5,t,10.32418133300962,None,5,0,35,4,163.9783034999855,,163.96688012499362,163.9783034999855,164.96341233403655,164.96341233403655,164.97293612500653,175.30735241703223,t,10.32418133300962,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
11.0,30.0,7.0,36,1,5,l,3.2700504990061745,None,5,1,36,0,175.3231816670159,,175.3138035419979,175.3231816670159,176.29768916702596,176.29768916702596,176.3104290420306,179.57515412499197,l,3.2700504990061745,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
40.0,55.0,62.0,37,2,5,t,1.745565123972483,None,5,2,37,3,179.59407500003,,179.58358204201795,179.59407500003,180.5730583749828,180.5730583749828,180.58941829198739,182.34021066699643,t,1.745565123972483,None,2,001,2025-10-24_11h44.56.764,delay discounting,,2025.1.1,None,2025-10-24 11h45.16.909169 +0530,
