thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.4622222222222222)],[np.float64(-0.10333333333333333)],[1],[0],[0],[1.8131118750025053],['target'],0,0,0,0,0.092394040999352,,5,0.07721433299593627,0.092394040999352,0.092394040999352,0.07723216700833291,1.8904164580017095,[np.float64(-0.4622222222222222)],[np.float64(-0.10333333333333333)],[1],[0],[0],[1.8131118750025053],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
1,0,1,[np.float64(-0.07333333333333333)],[np.float64(-0.3188888888888889)],[1],[0],[0],[3.5911521250091027],['target'],1,0,1,0,1.9317687500006286,,5,1.9248810830031289,1.9317687500006286,1.9317687500006286,0.03421933299978264,5.516123541005072,[np.float64(-0.07333333333333333)],[np.float64(-0.3188888888888889)],[1],[0],[0],[3.5911521250091027],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
2,0,2,[np.float64(0.4388888888888889)],[np.float64(-0.042222222222222223)],[1],[0],[0],[1.6136371250031516],['target'],2,0,2,0,5.557613665994722,,5,5.5513041249942034,5.557613665994722,5.557613665994722,0.034901999999419786,7.165008374999161,[np.float64(0.4388888888888889)],[np.float64(-0.042222222222222223)],[1],[0],[0],[1.6136371250031516],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
3,0,3,[np.float64(0.43444444444444447)],[np.float64(0.034444444444444444)],[1],[0],[0],[1.564755375002278],['target'],3,0,3,0,7.205824000004213,,5,7.198794875002932,7.205824000004213,7.205824000004213,0.03367333399364725,8.763616208001622,[np.float64(0.43444444444444447)],[np.float64(0.034444444444444444)],[1],[0],[0],[1.564755375002278],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
4,0,4,[np.float64(-0.30666666666666664)],[np.float64(-0.15666666666666668)],[1],[0],[0],[2.0670898750104243],['target'],4,0,4,0,8.804671874997439,,5,8.797971291001886,8.804671874997439,8.804671874997439,0.03418291600246448,10.86514295800589,[np.float64(-0.30666666666666664)],[np.float64(-0.15666666666666668)],[1],[0],[0],[2.0670898750104243],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
5,0,5,[np.float64(0.32)],[np.float64(0.2111111111111111)],[1],[0],[0],[1.8049974579917034],['target'],5,0,5,0,10.934404500003438,,10,10.924907874999917,10.934404500003438,10.934404500003438,0.059567250005784445,12.72995933299535,[np.float64(0.32)],[np.float64(0.2111111111111111)],[1],[0],[0],[1.8049974579917034],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
6,0,6,[np.float64(0.04555555555555556)],[np.float64(0.15888888888888889)],[1],[0],[0],[2.411357749995659],['target'],6,0,6,0,12.795743374997983,,10,12.786344708001707,12.795743374997983,12.795743374997983,0.05621870899631176,15.197778375004418,[np.float64(0.04555555555555556)],[np.float64(0.15888888888888889)],[1],[0],[0],[2.411357749995659],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
7,0,7,[np.float64(0.4111111111111111)],[np.float64(0.10333333333333333)],[1],[0],[0],[2.173705915993196],['target'],7,0,7,0,15.265546291004284,,10,15.256254624997382,15.265546291004284,15.265546291004284,0.058256707998225465,17.430013499993947,[np.float64(0.4111111111111111)],[np.float64(0.10333333333333333)],[1],[0],[0],[2.173705915993196],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
8,0,8,[np.float64(-0.40444444444444444)],[np.float64(0.4855555555555556)],[1],[0],[0],[7.688064624991966],['target'],8,0,8,0,17.46800137500395,,5,17.461347541000578,17.46800137500395,17.46800137500395,0.03116829099599272,25.14948679099325,[np.float64(-0.40444444444444444)],[np.float64(0.4855555555555556)],[1],[0],[0],[7.688064624991966],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
9,0,9,[np.float64(0.034444444444444444)],[np.float64(0.4111111111111111)],[1],[0],[0],[1.6865789589937776],['target'],9,0,9,0,25.219165332993725,,10,25.2100094579946,25.219165332993725,25.219165332993725,0.06026350001047831,26.896632415999193,[np.float64(0.034444444444444444)],[np.float64(0.4111111111111111)],[1],[0],[0],[1.6865789589937776],['target'],4,001,2025-09-30_16h48.12.211,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h48.46.588520 +0530,
