l_image,r_image,target_sound,correct,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,start_l_rect.started,start_r_rect.started,start_l_image.started,start_r_image.started,star.started,start_mouse.started,start.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trial_sound.started,trial_mouse.started,trial_sound.stopped,trial.stopped,trials.trial_mouse.x,trials.trial_mouse.y,trials.trial_mouse.leftButton,trials.trial_mouse.midButton,trials.trial_mouse.rightButton,trials.trial_mouse.time,trials.trial_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/dog.png,stimuli/pig.png,stimuli/dog.wav,stimuli/dog.png,0,0,0,[np.float64(0.012222222222222223)],[np.float64(0.02)],[1],[0],[0],[0.9175412500044331],['star'],[np.float64(-0.25333333333333335)],[np.float64(0.0011111111111111111)],[1],[0],[0],[2.0919643329980318],"['left_image', 'left_rectangle']",0,0,0,0,0.12598966699442826,,0.1030323339800816,0.12598966699442826,0.12598966699442826,0.12598966699442826,0.12598966699442826,0.12598966699442826,0.10306237498298287,1.0210684170015156,[np.float64(0.012222222222222223)],[np.float64(0.02)],[1],[0],[0],[0.9175412500044331],['star'],1.0792321669869125,1.0854987089987844,1.0854987089987844,1.0854987089987844,1.0854987089987844,1.0815617506605728,0.05802741600200534,2.683345333993202,3.1717095419880934,[np.float64(-0.25333333333333335)],[np.float64(0.0011111111111111111)],[1],[0],[0],[2.0919643329980318],"['left_image', 'left_rectangle']",13,001,2025-11-18_19h35.55.050,animal words,,2025.1.1,None,2025-11-18 19h36.07.873882 +0530,
stimuli/penguin.png,stimuli/tiger.png,stimuli/tiger.wav,stimuli/tiger.png,1,1,0,[np.float64(0.014444444444444444)],[np.float64(0.015555555555555555)],[1],[0],[0],[0.7109127500152681],['star'],[np.float64(0.4288888888888889)],[np.float64(0.05444444444444444)],[1],[0],[0],[1.927945041010389],"['right_image', 'right_rectangle']",0,1,1,1,3.2164773749827873,,3.209118792001391,3.2164773749827873,3.2164773749827873,3.2164773749827873,3.2164773749827873,3.2164773749827873,0.03725500000291504,3.9204253339848947,[np.float64(0.014444444444444444)],[np.float64(0.015555555555555555)],[1],[0],[0],[0.7109127500152681],['star'],3.9591434589819983,3.9639552499866113,3.9639552499866113,3.9639552499866113,3.9639552499866113,3.9695341669837942,0.0385741250065621,5.5620240419812035,5.887538124981802,[np.float64(0.4288888888888889)],[np.float64(0.05444444444444444)],[1],[0],[0],[1.927945041010389],"['right_image', 'right_rectangle']",13,001,2025-11-18_19h35.55.050,animal words,,2025.1.1,None,2025-11-18 19h36.07.873882 +0530,
stimuli/pig.png,stimuli/dog.png,stimuli/pig.wav,stimuli/pig.png,2,2,0,[np.float64(0.022222222222222223)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[0.7155579159734771],['star'],[np.float64(-0.3022222222222222)],[np.float64(0.06777777777777778)],[1],[0],[0],[1.732690917007858],"['left_image', 'left_rectangle']",0,2,2,2,5.924065166997025,,5.918495874997461,5.924065166997025,5.924065166997025,5.924065166997025,5.924065166997025,5.924065166997025,0.030807375005679205,6.634294458985096,[np.float64(0.022222222222222223)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[0.7155579159734771],['star'],6.6706539999868255,6.675257875001989,6.675257875001989,6.675257875001989,6.675257875001989,6.683294250001199,0.03628500000922941,8.274246208980912,8.40381229200284,[np.float64(-0.3022222222222222)],[np.float64(0.06777777777777778)],[1],[0],[0],[1.732690917007858],"['left_image', 'left_rectangle']",13,001,2025-11-18_19h35.55.050,animal words,,2025.1.1,None,2025-11-18 19h36.07.873882 +0530,
stimuli/tiger.png,stimuli/penguin.png,stimuli/penguin.wav,stimuli/penguin.png,3,3,0,"[np.float64(0.015555555555555555), np.float64(0.016666666666666666), np.float64(0.017777777777777778)]","[np.float64(0.035555555555555556), np.float64(0.034444444444444444), np.float64(-0.0022222222222222222)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.86708120800904, 1.9520641250128392, 2.5668554160220083]","[None, None, 'star']",[np.float64(0.39)],[np.float64(0.1388888888888889)],[1],[0],[0],[1.3868984580039978],"['right_image', 'right_rectangle']",0,3,3,3,8.442773458984448,,8.435888709005667,8.442773458984448,8.442773458984448,8.442773458984448,8.442773458984448,8.442773458984448,0.03174645800027065,11.00303087499924,"[np.float64(0.015555555555555555), np.float64(0.016666666666666666), np.float64(0.017777777777777778)]","[np.float64(0.035555555555555556), np.float64(0.034444444444444444), np.float64(-0.0022222222222222222)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.86708120800904, 1.9520641250128392, 2.5668554160220083]","[None, None, 'star']",11.050885791977635,11.05608112498885,11.05608112498885,11.05608112498885,11.05608112498885,11.05230749999173,0.0476893330051098,,12.43819808398257,[np.float64(0.39)],[np.float64(0.1388888888888889)],[1],[0],[0],[1.3868984580039978],"['right_image', 'right_rectangle']",13,001,2025-11-18_19h35.55.050,animal words,,2025.1.1,None,2025-11-18 19h36.07.873882 +0530,
