l_image,r_image,target_sound,correct,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,start_l_rect.started,start_r_rect.started,start_l_image.started,start_r_image.started,star.started,start_mouse.started,start.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trial_sound.started,trial_mouse.started,trial_sound.stopped,trial.stopped,trials.trial_mouse.x,trials.trial_mouse.y,trials.trial_mouse.leftButton,trials.trial_mouse.midButton,trials.trial_mouse.rightButton,trials.trial_mouse.time,trials.trial_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/dog.png,stimuli/pig.png,stimuli/dog.wav,stimuli/dog.png,0,0,0,[np.float64(-0.013333333333333334)],[np.float64(-0.012222222222222223)],[1],[0],[0],[0.48961729201255366],['star'],[np.float64(-0.3022222222222222)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[1.763993833999848],"['left_image', 'left_rectangle']",0,0,0,0,0.19226320899906568,,0.16316191700752825,0.19226320899906568,0.19226320899906568,0.19226320899906568,0.19226320899906568,0.19226320899906568,0.16320241600624286,0.6534063750004862,[np.float64(-0.013333333333333334)],[np.float64(-0.012222222222222223)],[1],[0],[0],[0.48961729201255366],['star'],0.7114919169980567,0.7179097089974675,0.7179097089974675,0.7179097089974675,0.7179097089974675,0.7215727503256252,0.05792033299803734,2.316751000005752,2.475917500007199,[np.float64(-0.3022222222222222)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[1.763993833999848],"['left_image', 'left_rectangle']",6,001,2025-11-18_19h28.00.106,animal words,,2025.1.1,None,2025-11-18 19h28.12.032972 +0530,
stimuli/penguin.png,stimuli/tiger.png,stimuli/tiger.wav,stimuli/tiger.png,1,1,0,[np.float64(-0.012222222222222223)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[0.9120013329957146],['star'],[np.float64(0.30777777777777776)],[np.float64(0.04111111111111111)],[1],[0],[0],[1.7156751249858644],"['right_image', 'right_rectangle']",0,1,1,1,2.5169473749992903,,2.511230667005293,2.5169473749992903,2.5169473749992903,2.5169473749992903,2.5169473749992903,2.5169473749992903,0.03506383398780599,3.4235165840073023,[np.float64(-0.012222222222222223)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[0.9120013329957146],['star'],3.4597574590006843,3.4647600000025705,3.4647600000025705,3.4647600000025705,3.4647600000025705,3.4727099590061696,0.036097792006330565,5.061484542005928,5.175863792013843,[np.float64(0.30777777777777776)],[np.float64(0.04111111111111111)],[1],[0],[0],[1.7156751249858644],"['right_image', 'right_rectangle']",6,001,2025-11-18_19h28.00.106,animal words,,2025.1.1,None,2025-11-18 19h28.12.032972 +0530,
stimuli/pig.png,stimuli/dog.png,stimuli/pig.wav,stimuli/pig.png,2,2,0,[np.float64(-0.03888888888888889)],[np.float64(-0.013333333333333334)],[1],[0],[0],[0.6772431250137743],['star'],[np.float64(-0.2688888888888889)],[np.float64(0.023333333333333334)],[1],[0],[0],[1.4885399999911897],"['left_image', 'left_rectangle']",0,2,2,2,5.22033341700444,,5.213428624992957,5.22033341700444,5.22033341700444,5.22033341700444,5.22033341700444,5.22033341700444,0.0371012499963399,5.891048749996116,[np.float64(-0.03888888888888889)],[np.float64(-0.013333333333333334)],[1],[0],[0],[0.6772431250137743],['star'],5.935744459013222,5.940915959014092,5.940915959014092,5.940915959014092,5.940915959014092,5.939901042013662,0.04454604201600887,,7.424855999997817,[np.float64(-0.2688888888888889)],[np.float64(0.023333333333333334)],[1],[0],[0],[1.4885399999911897],"['left_image', 'left_rectangle']",6,001,2025-11-18_19h28.00.106,animal words,,2025.1.1,None,2025-11-18 19h28.12.032972 +0530,
stimuli/tiger.png,stimuli/penguin.png,stimuli/penguin.wav,stimuli/penguin.png,3,3,0,[np.float64(0.017777777777777778)],[np.float64(-0.01888888888888889)],[1],[0],[0],[0.907715458975872],['star'],[np.float64(0.3844444444444444)],[np.float64(0.015555555555555555)],[1],[0],[0],[1.5116989579983056],"['right_image', 'right_rectangle']",0,3,3,3,7.473075459012762,,7.467224833992077,7.473075459012762,7.473075459012762,7.473075459012762,7.473075459012762,7.473075459012762,0.0342172909877263,8.375272042001598,[np.float64(0.017777777777777778)],[np.float64(-0.01888888888888889)],[1],[0],[0],[0.907715458975872],['star'],8.413624667009572,8.418242667015875,8.418242667015875,8.418242667015875,8.418242667015875,8.423977042007028,0.03817350001190789,,9.925707749993308,[np.float64(0.3844444444444444)],[np.float64(0.015555555555555555)],[1],[0],[0],[1.5116989579983056],"['right_image', 'right_rectangle']",6,001,2025-11-18_19h28.00.106,animal words,,2025.1.1,None,2025-11-18 19h28.12.032972 +0530,
