thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.2544444444444444)],[np.float64(0.011111111111111112)],[1],[0],[0],[1.7725669159990503],['target'],0,0,0,0,0.10393620900867973,,5,0.08855004201177508,0.10393620900867973,0.10393620900867973,0.0885695410106564,1.8611856670031557,[np.float64(-0.2544444444444444)],[np.float64(0.011111111111111112)],[1],[0],[0],[1.7725669159990503],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
1,0,1,[np.float64(-0.4444444444444444)],[np.float64(-0.04666666666666667)],[1],[0],[0],[1.9128977079963079],['target'],1,0,1,0,1.9304161670006579,,10,1.9210955840098904,1.9304161670006579,1.9304161670006579,0.05970600000000559,3.834048167002038,[np.float64(-0.4444444444444444)],[np.float64(-0.04666666666666667)],[1],[0],[0],[1.9128977079963079],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
2,0,2,[np.float64(0.33555555555555555)],[np.float64(-0.3611111111111111)],[1],[0],[0],[2.0226369590091053],['target'],2,0,2,0,3.9036204170115525,,10,3.8943404590099817,3.9036204170115525,3.9036204170115525,0.06012270800420083,5.917036917002406,[np.float64(0.33555555555555555)],[np.float64(-0.3611111111111111)],[1],[0],[0],[2.0226369590091053],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
3,0,3,[np.float64(-0.39444444444444443)],[np.float64(0.35888888888888887)],[1],[0],[0],[1.8556991660007043],['target'],3,0,3,0,5.98753325000871,,10,5.9785548340005334,5.98753325000871,5.98753325000871,0.06130762500106357,7.834310250007547,[np.float64(-0.39444444444444443)],[np.float64(0.35888888888888887)],[1],[0],[0],[1.8556991660007043],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
4,0,4,[np.float64(-0.25222222222222224)],[np.float64(0.07666666666666666)],[1],[0],[0],[1.6801655419985764],['target'],4,0,4,0,7.874894874999882,,5,7.868636958999559,7.874894874999882,7.874894874999882,0.03415670800313819,9.548880500005907,[np.float64(-0.25222222222222224)],[np.float64(0.07666666666666666)],[1],[0],[0],[1.6801655419985764],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
5,0,5,[np.float64(-0.29444444444444445)],[np.float64(0.03666666666666667)],[1],[0],[0],[1.0460646669962443],['target'],5,0,5,0,9.594119917004718,,5,9.586647250005626,9.594119917004718,9.594119917004718,0.037629041995387524,10.632766459006234,[np.float64(-0.29444444444444445)],[np.float64(0.03666666666666667)],[1],[0],[0],[1.0460646669962443],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
6,0,6,[np.float64(-0.2833333333333333)],[np.float64(0.16444444444444445)],[1],[0],[0],[0.9147111670026788],['target'],6,0,6,0,10.67681287501182,,5,10.66869695900823,10.67681287501182,10.67681287501182,0.0357172499934677,11.583479125009035,[np.float64(-0.2833333333333333)],[np.float64(0.16444444444444445)],[1],[0],[0],[0.9147111670026788],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
7,0,7,[np.float64(0.31)],[np.float64(0.14666666666666667)],[1],[0],[0],[1.0147089579986641],['target'],7,0,7,0,11.62754916700942,,5,11.61992295901291,11.62754916700942,11.62754916700942,0.03626854199683294,12.634698834008304,[np.float64(0.31)],[np.float64(0.14666666666666667)],[1],[0],[0],[1.0147089579986641],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
8,0,8,[np.float64(-0.012222222222222223)],[np.float64(-0.4266666666666667)],[1],[0],[0],[2.0292691659997217],['target'],8,0,8,0,12.679709584001102,,5,12.673141417006264,12.679709584001102,12.679709584001102,0.03826958300487604,14.702519541999209,[np.float64(-0.012222222222222223)],[np.float64(-0.4266666666666667)],[1],[0],[0],[2.0292691659997217],['target'],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
9,0,9,[np.float64(0.4088888888888889)],[np.float64(-0.3333333333333333)],[1],[0],[0],[2.136380208990886],[None],9,0,9,0,14.773211209001602,,10,14.764250709005864,14.773211209001602,14.773211209001602,0.061488708000979386,16.900686749999295,[np.float64(0.4088888888888889)],[np.float64(-0.3333333333333333)],[1],[0],[0],[2.136380208990886],[None],5,001,2025-09-30_16h57.02.810,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h57.22.118854 +0530,
