thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.2477777777777778)],[np.float64(0.26222222222222225)],[1],[0],[0],[1.1595370410068426],['target'],0,0,0,0,0.24106791701342445,,5,0.22578795801382512,0.24106791701342445,0.24106791701342445,0.22581487499701325,1.3853845830017235,[np.float64(-0.2477777777777778)],[np.float64(0.26222222222222225)],[1],[0],[0],[1.1595370410068426],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
1,0,1,[np.float64(-0.40555555555555556)],[np.float64(0.45)],[1],[0],[0],[2.5952021249977406],['target'],1,0,1,0,1.4230226250074338,,5,1.4165789170074277,1.4230226250074338,1.4230226250074338,0.030876999997417443,4.011879666999448,[np.float64(-0.40555555555555556)],[np.float64(0.45)],[1],[0],[0],[2.5952021249977406],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
2,0,2,[np.float64(-0.27555555555555555)],[np.float64(-0.4533333333333333)],[1],[0],[0],[2.2633402080100495],['target'],2,0,2,0,4.052625583004556,,5,4.046272833002149,4.052625583004556,4.052625583004556,0.034160291994339786,6.309683583007427,[np.float64(-0.27555555555555555)],[np.float64(-0.4533333333333333)],[1],[0],[0],[2.2633402080100495],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
3,0,3,[np.float64(0.4955555555555556)],[np.float64(0.42444444444444446)],[1],[0],[0],[1.7311827920057112],['target'],3,0,3,0,6.351147833003779,,5,6.344853292001062,6.351147833003779,6.351147833003779,0.03498120899894275,8.076106125008664,[np.float64(0.4955555555555556)],[np.float64(0.42444444444444446)],[1],[0],[0],[1.7311827920057112],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
4,0,4,[np.float64(0.0077777777777777776)],[np.float64(-0.14777777777777779)],[1],[0],[0],[2.023616624996066],['target'],4,0,4,0,8.144967833010014,,10,8.135923042005743,8.144967833010014,8.144967833010014,0.05964887500158511,10.159606042012456,[np.float64(0.0077777777777777776)],[np.float64(-0.14777777777777779)],[1],[0],[0],[2.023616624996066],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
5,0,5,[np.float64(0.23666666666666666)],[np.float64(0.2911111111111111)],[1],[0],[0],[1.5511023339931853],['target'],5,0,5,0,10.199397417003638,,5,10.193203208007617,10.199397417003638,10.199397417003638,0.03339345801214222,11.744395000001532,[np.float64(0.23666666666666666)],[np.float64(0.2911111111111111)],[1],[0],[0],[1.5511023339931853],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
6,0,6,[np.float64(-0.45555555555555555)],[np.float64(0.22666666666666666)],[1],[0],[0],[1.4070435000030557],['target'],6,0,6,0,11.811691875001998,,10,11.802743500011275,11.811691875001998,11.811691875001998,0.0581640000018524,13.209855958004482,[np.float64(-0.45555555555555555)],[np.float64(0.22666666666666666)],[1],[0],[0],[1.4070435000030557],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
7,0,7,[np.float64(-0.21333333333333335)],[np.float64(-0.2)],[1],[0],[0],[1.5349455830000807],[None],7,0,7,0,13.248803208000027,,5,13.242546542009222,13.248803208000027,13.248803208000027,0.03248070800327696,14.77759908301232,[np.float64(-0.21333333333333335)],[np.float64(-0.2)],[1],[0],[0],[1.5349455830000807],[None],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
8,0,8,[np.float64(0.2677777777777778)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.1495187090040417],['target'],8,0,8,0,14.817607083008625,,5,14.811306875009905,14.817607083008625,14.817607083008625,0.03346649999730289,15.960926125000697,[np.float64(0.2677777777777778)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.1495187090040417],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
9,0,9,[np.float64(-0.29777777777777775)],[np.float64(0.04777777777777778)],[1],[0],[0],[1.3319656670064433],['target'],9,0,9,0,16.001248000000487,,5,15.995041166999727,16.001248000000487,16.001248000000487,0.03386487500392832,17.327079500013497,[np.float64(-0.29777777777777775)],[np.float64(0.04777777777777778)],[1],[0],[0],[1.3319656670064433],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
10,0,10,[np.float64(0.3477777777777778)],[np.float64(0.3211111111111111)],[1],[0],[0],[2.4487877920037135],['target'],10,0,10,0,17.367433750012424,,5,17.361126167001203,17.367433750012424,17.367433750012424,0.033866708996356465,19.809998333003023,[np.float64(0.3477777777777778)],[np.float64(0.3211111111111111)],[1],[0],[0],[2.4487877920037135],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
11,0,11,[np.float64(0.18)],[np.float64(-0.09333333333333334)],[1],[0],[0],[3.1877232499973616],['target'],11,0,11,0,19.878393750012037,,10,19.86948541700258,19.878393750012037,19.878393750012037,0.05928850000782404,23.057257500011474,[np.float64(0.18)],[np.float64(-0.09333333333333334)],[1],[0],[0],[3.1877232499973616],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
12,0,12,[np.float64(0.21222222222222223)],[np.float64(0.013333333333333334)],[1],[0],[0],[1.272242125007324],['target'],12,0,12,0,23.094869500011555,,5,23.088600208007847,23.094869500011555,23.094869500011555,0.031188332999590784,24.360925583008793,[np.float64(0.21222222222222223)],[np.float64(0.013333333333333334)],[1],[0],[0],[1.272242125007324],['target'],3,001,2025-09-30_16h35.10.187,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h36.36.418917 +0530,
