pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,2.6931621249968885,None,0,0,0,0,,,,,0.06773500000417698,,0.06058991700410843,0.06773500000417698,1.0122421249980107,1.0122421249980107,1.0122421249980107,1.0122421249980107,1.0627195419947384,2.0086835419933777,2.0086835419933777,5.118424624990439,x,1,2.6931621249968885,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
150,v,1,1,0,v,1,0.324422666002647,None,0,1,1,1,,,,,5.142713499997626,,5.118918209002004,5.142713499997626,6.1166532920033205,6.1166532920033205,6.1166532920033205,6.1166532920033205,6.141861666998011,7.116785209000227,7.116785209000227,7.443295459001092,v,1,0.324422666002647,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
50,c ,2,2,0,c,0,0.25713166598870885,None,0,2,2,2,,,,,7.454665166995255,,7.443999458992039,7.454665166995255,8.442000875002122,8.442000875002122,8.442000875002122,8.442000875002122,8.447709624990239,9.441716499990434,9.441716499990434,9.70038716700219,c,0,0.25713166598870885,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-150,z,3,3,0,z,1,0.8633571660029702,None,0,3,3,3,,,,,9.707428334004362,,9.70077945900266,9.707428334004362,10.698958749999292,10.698958749999292,10.698958749999292,10.698958749999292,10.698958749999292,11.69864245899953,11.69864245899953,12.566079458993045,z,1,0.8633571660029702,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-50,x,4,0,1,x,1,0.4541614569898229,None,1,0,4,0,,,,,12.57837820900022,,12.566766333999112,12.57837820900022,13.565685166991898,13.565685166991898,13.565685166991898,13.565685166991898,13.574762042000657,14.565776083996752,14.565776083996752,15.025334249992738,x,1,0.4541614569898229,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
150,v,5,1,1,v,1,0.7154552499996498,None,1,1,5,1,,,,,15.031872584004304,,15.02564233400335,15.031872584004304,16.01403258400387,16.01403258400387,16.01403258400387,16.01403258400387,16.03132908399857,17.015457792003872,17.015457792003872,17.732659667002736,v,1,0.7154552499996498,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
50,c ,6,2,1,c,0,0.5637009990023216,None,1,2,6,2,,,,,17.744064166996395,,17.733193708991166,17.744064166996395,18.731376541996724,18.731376541996724,18.731376541996724,18.731376541996724,18.741575749998447,19.73110999999335,19.73110999999335,20.299446916993475,c,0,0.5637009990023216,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-150,z,7,3,1,z,1,0.38743670700932853,None,1,3,7,3,,,,,20.310480208994704,,20.30006329200114,20.310480208994704,21.29941916700045,21.29941916700045,21.29941916700045,21.29941916700045,21.308306209000875,22.290312666998943,22.290312666998943,22.682551958991098,z,1,0.38743670700932853,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-50,x,8,0,2,x,1,0.3702074159955373,None,2,0,8,0,,,,,22.694947708994732,,22.68335708399536,22.694947708994732,23.682400416990276,23.682400416990276,23.682400416990276,23.682400416990276,23.69158037500165,24.674555124991457,24.674555124991457,25.048661916996934,x,1,0.3702074159955373,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
150,v,9,1,2,v,1,0.3229676240007393,None,2,1,9,1,,,,,25.06053741699725,,25.049194749997696,25.06053741699725,26.048958874991513,26.048958874991513,26.048958874991513,26.048958874991513,26.058113584003877,27.048780999990413,27.048780999990413,27.37686350000149,v,1,0.3229676240007393,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
50,c ,10,2,2,c,0,0.7137423740059603,None,2,2,10,2,,,,,27.389178041994455,,27.377623291991767,27.389178041994455,28.37475508399075,28.37475508399075,28.37475508399075,28.37475508399075,28.379535416999715,29.374763999992865,29.374763999992865,30.094575084003736,c,0,0.7137423740059603,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-150,z,11,3,2,z,1,0.5986658740002895,None,2,3,11,3,,,,,30.125226624993957,,30.095479499999783,30.125226624993957,31.099598333996255,31.099598333996255,31.099598333996255,31.099598333996255,31.113646375000826,32.0917764170008,32.0917764170008,32.69306904199766,z,1,0.5986658740002895,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-50,x,12,0,3,x,1,0.7266975820093649,None,3,0,12,0,,,,,32.7061436669901,,32.69382170899189,32.7061436669901,33.69167479200405,33.69167479200405,33.69167479200405,33.69167479200405,33.69686254199769,34.69159633399977,34.69159633399977,35.426477749992046,x,1,0.7266975820093649,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
150,v,13,1,3,v,1,0.38080912400619127,None,3,1,13,1,,,,,35.4365492920042,,35.42746508399432,35.4365492920042,36.42540720899706,36.42540720899706,36.42540720899706,36.42540720899706,36.432010292002815,37.42358483400312,37.42358483400312,37.82947874999081,v,1,0.38080912400619127,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
50,c ,14,2,3,c,0,0.4494093329994939,None,3,2,14,2,,,,,37.838834333990235,,37.830182541991235,37.838834333990235,38.82462916699296,38.82462916699296,38.82462916699296,38.82462916699296,38.83118854199711,39.82490095899266,39.82490095899266,40.276799083992955,c,0,0.4494093329994939,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-150,z,15,3,3,z,1,0.41219724899565335,None,3,3,15,3,,,,,40.289262999998755,,40.27760870900238,40.289262999998755,41.27484241699858,41.27484241699858,41.27484241699858,41.27484241699858,41.28135545899568,42.274948958991445,42.274948958991445,42.6931311669905,z,1,0.41219724899565335,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-50,x,16,0,4,x,1,0.4338562080083648,None,4,0,16,0,,,,,42.705595416991855,,42.69395691699174,42.705595416991855,43.69161870899552,43.69161870899552,43.69161870899552,43.69161870899552,43.69750033399032,44.69127262500115,44.69127262500115,45.1332534999965,x,1,0.4338562080083648,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
150,v,17,1,4,v,1,0.4661723329918459,None,4,1,17,1,,,,,45.14520487499249,,45.133968666996225,45.14520487499249,46.13205337499676,46.13205337499676,46.13205337499676,46.13205337499676,46.14185324999562,47.131896958992,47.131896958992,47.59965162500157,v,1,0.4661723329918459,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
50,c ,18,2,4,c,0,0.3354453329957323,None,4,2,18,2,,,,,47.61119187499571,,47.600218708990724,47.61119187499571,48.599637249993975,48.599637249993975,48.599637249993975,48.599637249993975,48.607597416994395,49.59861025000282,49.59861025000282,49.94324120899546,c,0,0.3354453329957323,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-150,z,19,3,4,z,1,0.28523645699897315,None,4,3,19,3,,,,,49.95534758399299,,49.94407104200218,49.95534758399299,50.94157462500152,50.94157462500152,50.94157462500152,50.94157462500152,50.947844583992264,51.94170391699299,51.94170391699299,52.232208874993376,z,1,0.28523645699897315,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-50,x,20,0,5,x,1,0.8590250819979701,None,5,0,20,0,,,,,52.24342354199325,,52.23272195899335,52.24342354199325,53.232569749990944,53.232569749990944,53.232569749990944,53.232569749990944,53.24116183399747,54.23194754199358,54.23194754199358,55.09276274999138,x,1,0.8590250819979701,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
150,v,21,1,5,v,1,1.0573436660051811,None,5,1,21,1,,,,,55.09780887499801,,55.09328166699561,55.09780887499801,56.09158370899968,56.09158370899968,56.09158370899968,56.09158370899968,56.09830641699955,57.0914501669904,57.0914501669904,58.15995808399748,v,1,1.0573436660051811,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
50,c ,22,2,5,c,0,0.48465441599546466,None,5,2,22,2,,,,,58.17024545899767,,58.16071404199465,58.17024545899767,59.16589899999963,59.16589899999963,59.16589899999963,59.16589899999963,59.16589899999963,60.15800045899232,60.15800045899232,60.648398042001645,c,0,0.48465441599546466,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
-150,z,23,3,5,z,1,0.49644070700742304,None,5,3,23,3,,,,,60.660163708991604,,60.64905258399085,60.660163708991604,61.64857449999545,61.64857449999545,61.64857449999545,61.64857449999545,61.658071625002776,62.645168709001155,62.645168709001155,63.14861262499471,z,1,0.49644070700742304,None,,,,,5,001,2025-10-02_16h57.11.785,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h57.22.156924 +0530,
