thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.23)],[np.float64(0.3466666666666667)],[1],[0],[0],[1.4436459999997169],['target'],0,0,0,0,0.10294945900386665,,5,0.08815295901149511,0.10294945900386665,0.10294945900386665,0.08816779199696612,1.531892584011075,[np.float64(-0.23)],[np.float64(0.3466666666666667)],[1],[0],[0],[1.4436459999997169],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
1,0,1,[np.float64(-0.3566666666666667)],[np.float64(0.12)],[1],[0],[0],[0.9671437920042081],[None],1,0,1,0,1.6005704590061214,,10,1.5909852920012781,1.6005704590061214,1.6005704590061214,0.05879925000772346,2.558184000008623,[np.float64(-0.3566666666666667)],[np.float64(0.12)],[1],[0],[0],[0.9671437920042081],[None],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
2,0,2,[np.float64(0.35444444444444445)],[np.float64(-0.47444444444444445)],[1],[0],[0],[2.6944324590003816],['target'],2,0,2,0,2.622837584000081,,10,2.613930542007438,2.622837584000081,2.622837584000081,0.05557220900664106,5.308431000012206,[np.float64(0.35444444444444445)],[np.float64(-0.47444444444444445)],[1],[0],[0],[2.6944324590003816],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
3,0,3,[np.float64(0.016666666666666666)],[np.float64(0.3055555555555556)],[1],[0],[0],[1.9556406250048894],['target'],3,0,3,0,5.3761593340022955,,10,5.367254167009378,5.3761593340022955,5.3761593340022955,0.05861270800232887,7.32300195901189,[np.float64(0.016666666666666666)],[np.float64(0.3055555555555556)],[1],[0],[0],[1.9556406250048894],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
4,0,4,[np.float64(-0.017777777777777778)],[np.float64(0.31333333333333335)],[1],[0],[0],[0.8881035840022378],['target'],4,0,4,0,7.361101750007947,,5,7.354577709003934,7.361101750007947,7.361101750007947,0.03125362499849871,8.242760584005737,[np.float64(-0.017777777777777778)],[np.float64(0.31333333333333335)],[1],[0],[0],[0.8881035840022378],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
5,0,5,[np.float64(0.38)],[np.float64(0.37222222222222223)],[1],[0],[0],[1.3646535410080105],['target'],5,0,5,0,8.282454708998557,,5,8.27624991700577,8.282454708998557,8.282454708998557,0.033306249999441206,9.640987709004548,[np.float64(0.38)],[np.float64(0.37222222222222223)],[1],[0],[0],[1.3646535410080105],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
6,0,6,[np.float64(-0.36444444444444446)],[np.float64(-0.09666666666666666)],[1],[0],[0],[1.8567135000048438],['target'],6,0,6,0,9.711964709000313,,10,9.701791459010565,9.711964709000313,9.711964709000313,0.060646541009191424,11.558568917011144,[np.float64(-0.36444444444444446)],[np.float64(-0.09666666666666666)],[1],[0],[0],[1.8567135000048438],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
7,0,7,[np.float64(0.23)],[np.float64(-0.13666666666666666)],[1],[0],[0],[1.9750337500008754],['target'],7,0,7,0,11.626032708998537,,10,11.617245292000007,11.626032708998537,11.626032708998537,0.05845075000252109,13.592331125008059,[np.float64(0.23)],[np.float64(-0.13666666666666666)],[1],[0],[0],[1.9750337500008754],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
8,0,8,[np.float64(0.36777777777777776)],[np.float64(-0.20333333333333334)],[1],[0],[0],[1.231890499999281],['target'],8,0,8,0,13.632049334002659,,5,13.625765250006225,13.632049334002659,13.632049334002659,0.03324020799482241,14.857718500003102,[np.float64(0.36777777777777776)],[np.float64(-0.20333333333333334)],[1],[0],[0],[1.231890499999281],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
9,0,9,[np.float64(-0.16666666666666666)],[np.float64(-0.4388888888888889)],[1],[0],[0],[2.924158499998157],['target'],9,0,9,0,14.926133125001797,,10,14.917193334011245,14.926133125001797,14.926133125001797,0.05929650001053233,17.84141962500871,[np.float64(-0.16666666666666666)],[np.float64(-0.4388888888888889)],[1],[0],[0],[2.924158499998157],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
10,0,10,[np.float64(-0.47)],[np.float64(-0.2588888888888889)],[1],[0],[0],[1.4689435409964062],['target'],10,0,10,0,17.88082825001038,,5,17.87454562500352,17.88082825001038,17.88082825001038,0.03291824999905657,19.34357458401064,[np.float64(-0.47)],[np.float64(-0.2588888888888889)],[1],[0],[0],[1.4689435409964062],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
11,0,11,[np.float64(0.4477777777777778)],[np.float64(-0.4088888888888889)],[1],[0],[0],[2.2905922919890145],['target'],11,0,11,0,19.409269499999937,,10,19.40040866700292,19.409269499999937,19.409269499999937,0.056637125002453104,21.69112904201029,[np.float64(0.4477777777777778)],[np.float64(-0.4088888888888889)],[1],[0],[0],[2.2905922919890145],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
12,0,12,[np.float64(0.4477777777777778)],[np.float64(-0.4088888888888889)],[1],[0],[0],[0.22240075000445358],[None],12,0,12,0,21.742210292009986,,5,21.7346934590023,21.742210292009986,21.742210292009986,0.04316916699463036,21.95713712500583,[np.float64(0.4477777777777778)],[np.float64(-0.4088888888888889)],[1],[0],[0],[0.22240075000445358],[None],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
13,0,13,[np.float64(0.4477777777777778)],[np.float64(-0.4088888888888889)],[1],[0],[0],[0.6974372920085443],[None],13,0,13,0,21.999186667002505,,5,21.99217354200664,21.999186667002505,21.999186667002505,0.03491754199785646,22.689679625007557,[np.float64(0.4477777777777778)],[np.float64(-0.4088888888888889)],[1],[0],[0],[0.6974372920085443],[None],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
14,0,14,[np.float64(0.034444444444444444)],[np.float64(0.39222222222222225)],[1],[0],[0],[1.6503443750116276],['target'],14,0,14,0,22.731746125005884,,5,22.725451459002215,22.731746125005884,22.731746125005884,0.035579625007812865,24.37589387501066,[np.float64(0.034444444444444444)],[np.float64(0.39222222222222225)],[1],[0],[0],[1.6503443750116276],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
15,0,15,[np.float64(0.023333333333333334)],[np.float64(0.027777777777777776)],[1],[0],[0],[1.2723677499889163],['target'],15,0,15,0,24.444645125011448,,10,24.435381125003914,24.444645125011448,24.444645125011448,0.05926041699422058,25.70780487501179,[np.float64(0.023333333333333334)],[np.float64(0.027777777777777776)],[1],[0],[0],[1.2723677499889163],['target'],1,001,2025-09-30_16h21.39.806,Visual Search Experiment,,2025.1.1,None,2025-09-30 16h21.49.248319 +0530,
