study_word,thisN,thisTrialN,thisRepN,studyslider.response,studyslider.rt,test_words,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,studyslider.started,trial.stopped,trials.studyslider.response,trials.studyslider.rt,test.started,test_text.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,test_text.stopped,textbox.stopped,submit_text.stopped,testmouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
board,0,0,0,1.0,3.056524082989199,,,,,,,,,,0,0,0,4,,,,,0.1062622079916764,,0.07490879099350423,0.1062622079916764,0.1062622079916764,3.139394041005289,1.0,3.056524082989199,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
book,1,1,0,1.005,1.1372957499988843,,,,,,,,,,0,1,1,0,,,,,3.1496587909932714,,3.1434190410072915,3.1496587909932714,3.1496587909932714,4.289673791005043,1.005,1.1372957499988843,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
police,2,2,0,1.005,1.3542937919846736,,,,,,,,,,0,2,2,12,,,,,4.300232999987202,,4.294417833007174,4.300232999987202,4.300232999987202,5.656091874989215,1.005,1.3542937919846736,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
tshirt,3,3,0,1.01,1.3015758330002427,,,,,,,,,,0,3,3,7,,,,,5.668138957989868,,5.6612099159974605,5.668138957989868,5.668138957989868,6.972722750011599,1.01,1.3015758330002427,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
chart,4,4,0,1.01,1.2219951250008307,,,,,,,,,,0,4,4,6,,,,,6.980489415989723,,6.974923375004437,6.980489415989723,6.980489415989723,8.20624458300881,1.01,1.2219951250008307,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
laptop,5,5,0,1.01,0.7877040000166744,,,,,,,,,,0,5,5,5,,,,,8.215222291008104,,8.209362541005248,8.215222291008104,8.215222291008104,9.006135958014056,1.01,0.7877040000166744,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
cruise,6,6,0,1.01,1.8885150409769267,,,,,,,,,,0,6,6,11,,,,,9.013786208000965,,9.008318832988152,9.013786208000965,9.013786208000965,10.906075250008143,1.01,1.8885150409769267,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
keys,7,7,0,1.01,1.2212211250152905,,,,,,,,,,0,7,7,13,,,,,10.915516875014873,,10.909783208015142,10.915516875014873,10.915516875014873,12.13972287499928,1.01,1.2212211250152905,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
case,8,8,0,1.01,2.6385536669986323,,,,,,,,,,0,8,8,10,,,,,12.147560332989087,,12.141825166007038,12.147560332989087,12.147560332989087,14.789801415987313,1.01,2.6385536669986323,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
mouse,9,9,0,1.01,1.0888302920211572,,,,,,,,,,0,9,9,8,,,,,14.798077707993798,,14.792218832997605,14.798077707993798,14.798077707993798,15.889813582994975,1.01,1.0888302920211572,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
