study_word,thisN,thisTrialN,thisRepN,studyslider.response,studyslider.rt,test_words,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,studyslider.started,trial.stopped,trials.studyslider.response,trials.studyslider.rt,test.started,test_text.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,test_text.stopped,textbox.stopped,submit_text.stopped,testmouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble,10,10,0,4.79,2.4385588329751045,,,,,,,,,,0,10,10,3,,,,,15.897502083011204,,15.891820040997118,15.897502083011204,15.897502083011204,18.33936858299421,4.79,2.4385588329751045,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
cushion,11,11,0,1.175,1.6892427910061087,,,,,,,,,,0,11,11,1,,,,,18.34859266600688,,18.342834957991727,18.34859266600688,18.34859266600688,20.039287999999942,1.175,1.6892427910061087,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
pastry,12,12,0,1.07,0.9224669160030317,,,,,,,,,,0,12,12,9,,,,,20.04693712500739,,20.041281374986283,20.04693712500739,20.04693712500739,20.97267095799907,1.07,0.9224669160030317,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
phone,13,13,0,4.025,2.90603091698722,,,,,,,,,,0,13,13,2,,,,,20.980236666015116,,20.974647625000216,20.980236666015116,20.980236666015116,23.889708708011312,4.025,2.90603091698722,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
poster,14,14,0,3.98,0.9539058329828549,,,,,,,,,,0,14,14,14,,,,,23.89899187500123,,23.892863249988295,23.89899187500123,23.89899187500123,24.856185582990292,3.98,0.9539058329828549,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,0,0,0,,,_o_rd,board,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[9.147873834008351],['submit_text'],,,,,0,0,0,10,24.878427165996982,,,,,,,,24.868339582986664,24.878427165996982,24.878427165996982,24.878427165996982,0.012171250011306256,34.01643791599781,board,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[9.147873834008351],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,1,1,0,,,p_as_tr,pastry,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[3.6774126670206897],['submit_text'],,,,,0,1,1,4,34.0281595409906,,,,,,,,34.0204672079999,34.0281595409906,34.0281595409906,34.0281595409906,0.0036629590031225234,37.69807254101033,pastry,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[3.6774126670206897],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,2,2,0,,,v_s_,vase,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9132871250039898],['submit_text'],,,,,0,2,2,17,37.71269741599099,,,,,,,,37.70197058300255,37.71269741599099,37.71269741599099,37.71269741599099,0.003745916998013854,39.61547512499965,vase,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9132871250039898],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,3,3,0,,,c_s_,case,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.5288745000143535],['submit_text'],,,,,0,3,3,5,39.6288970829919,,,,,,,,39.618448916007765,39.6288970829919,39.6288970829919,39.6288970829919,0.0026920000091195107,41.14749912501429,case,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.5288745000143535],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,4,4,0,,,_oo_,book,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.6313674589910079],['submit_text'],,,,,0,4,4,13,41.15648470798624,,,,,,,,41.14913962499122,41.15648470798624,41.15648470798624,41.15648470798624,0.0015591249975841492,42.78068454100867,book,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.6313674589910079],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,5,5,0,,,_ru_is_,cruise,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.881343334011035],['submit_text'],,,,,0,5,5,6,42.80641150000156,,,,,,,,42.782875540986424,42.80641150000156,42.80641150000156,42.80641150000156,0.002090458001475781,44.6643982079986,cruise,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.881343334011035],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,6,6,0,,,t_hi_t,tshirt,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[2.147704666975187],['submit_text'],,,,,0,6,6,2,44.6734871249937,,,,,,,,44.66641174998949,44.6734871249937,44.6734871249937,44.6734871249937,0.001926290977280587,46.81430337499478,tshirt,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[2.147704666975187],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,7,7,0,,,ta_l_,table,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[3.3655885419866536],['submit_text'],,,,,0,7,7,15,46.8399847499968,,,,,,,,46.81631204098812,46.8399847499968,46.8399847499968,46.8399847499968,0.0019032089912798256,50.18210387500585,table,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[3.3655885419866536],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,8,8,0,,,c_m_ra,camera,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[2.2623695000074804],['submit_text'],,,,,0,8,8,19,50.19539845798863,,,,,,,,50.1846320409968,50.19539845798863,50.19539845798863,50.19539845798863,0.002347165980609134,52.44718454100075,camera,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[2.2623695000074804],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,9,9,0,,,p_nc_l,pencil,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9652028339914978],['submit_text'],,,,,0,9,9,16,52.45621720800409,,,,,,,,52.44913541601272,52.45621720800409,52.45621720800409,52.45621720800409,0.0018646250246092677,54.41453245800221,pencil,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9652028339914978],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,10,10,0,,,l_apt_p,laptop,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.7001238329976331],['submit_text'],,,,,0,10,10,0,54.42301737499656,,,,,,,,54.416511874995194,54.42301737499656,54.42301737499656,54.42301737499656,0.0018852500070352107,56.11683462499059,laptop,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.7001238329976331],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,11,11,0,,,p_st_r,pastry,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9952967079880182],['submit_text'],,,,,0,11,11,9,56.128124749986455,,,,,,,,56.11897629100713,56.128124749986455,56.128124749986455,56.128124749986455,0.002022374974330887,58.11446179100312,pastry,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9952967079880182],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,12,12,0,,,_ho_e,shore,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[4.20646079198923],['submit_text'],,,,,0,12,12,12,58.129729375010356,,,,,,,,58.11706966601196,58.129729375010356,58.129729375010356,58.129729375010356,0.002388541994150728,62.323749708011746,shore,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[4.20646079198923],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,13,13,0,,,bo_t_e,bottle,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.649055584013695],['submit_text'],,,,,0,13,13,18,62.33949779099203,,,,,,,,62.33176979099517,62.33949779099203,62.33949779099203,62.33949779099203,0.005089249985758215,63.98105495801428,bottle,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.649055584013695],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,14,14,0,,,_ou_e,bounce,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[2.4140830420074053],['submit_text'],,,,,0,14,14,3,64.00643541599857,,,,,,,,63.982847166014835,64.00643541599857,64.00643541599857,64.00643541599857,0.0017085830040741712,66.39712583299843,bounce,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[2.4140830420074053],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,15,15,0,,,_a_bl_,,[],[],[],[],[],[],[],,,,,0,15,15,11,66.4064978749957,,,,,,,,66.39932175001013,66.4064978749957,66.4064978749957,66.4064978749957,0.002096707990858704,76.390079875011,,[],[],[],[],[],[],[],76.39969791600015,76.39969791600015,76.39969791600015,9.992599541990785,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,16,16,0,,,k_y_,keys,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9311617499915883],['submit_text'],,,,,0,16,16,8,76.39969791600015,,,,,,,,76.39325241598999,76.39969791600015,76.39969791600015,76.39969791600015,0.0025406669883523136,78.33108475001063,keys,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.9311617499915883],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,17,17,0,,,_ha_t,chart,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.6810610000102315],['submit_text'],,,,,0,17,17,1,78.35653612500755,,,,,,,,78.33308383301483,78.35653612500755,78.35653612500755,78.35653612500755,0.0018262499943375587,80.0143541250145,chart,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.6810610000102315],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,18,18,0,,,p_li_e,police,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.8514497090072837],['submit_text'],,,,,0,18,18,7,80.03971433299012,,,,,,,,80.01627491600811,80.03971433299012,80.03971433299012,80.03971433299012,0.0018347500008530915,81.86794941598782,police,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.8514497090072837],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
,19,19,0,,,c_s_io_,cushion,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.8272791669878643],['submit_text'],,,,,0,19,19,14,81.8779468749999,,,,,,,,81.87005229099304,81.8779468749999,81.8779468749999,81.8779468749999,0.0020006659906357527,83.6975602080056,cushion,[np.float64(0.025)],[np.float64(-0.24625)],[1],[0],[0],[1.8272791669878643],['submit_text'],,,,,1,001,2025-10-16_21h47.23.438,Word Priming ,,2025.1.1,None,2025-10-16 21h47.35.133104 +0530,
