l_image,r_image,target_sound,correct,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,start_l_rect.started,start_r_rect.started,start_l_image.started,start_r_image.started,star.started,start_mouse.started,start.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trial_sound.started,trial_mouse.started,trial.stopped,trials.trial_mouse.x,trials.trial_mouse.y,trials.trial_mouse.leftButton,trials.trial_mouse.midButton,trials.trial_mouse.rightButton,trials.trial_mouse.time,trials.trial_mouse.clicked_name,trial_sound.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/dog.png,stimuli/pig.png,stimuli/dog.wav,stimuli/dog.png,0,0,0,[np.float64(0.027777777777777776)],[np.float64(0.014444444444444444)],[1],[0],[0],[15.050582208001288],['star'],[np.float64(-0.35555555555555557)],[np.float64(-0.058888888888888886)],[1],[0],[0],[1.267772999999579],"['left_image', 'left_rectangle']",0,0,0,0,0.09173612500308082,,0.07416612500674091,0.09173612500308082,0.09173612500308082,0.09173612500308082,0.09173612500308082,0.09173612500308082,0.0741919159918325,15.12517724999634,[np.float64(0.027777777777777776)],[np.float64(0.014444444444444444)],[1],[0],[0],[15.050582208001288],['star'],15.19397554200259,15.201548875003937,15.201548875003937,15.201548875003937,15.201548875003937,15.196820041329678,0.06849770799453836,16.46230016699701,[np.float64(-0.35555555555555557)],[np.float64(-0.058888888888888886)],[1],[0],[0],[1.267772999999579],"['left_image', 'left_rectangle']",,3,001,2025-11-13_11h02.48.368,animal words,,2025.1.1,None,2025-11-13 11h03.43.153946 +0530,
stimuli/penguin.png,stimuli/tiger.png,stimuli/tiger.wav,stimuli/tiger.png,1,1,0,[np.float64(0.03333333333333333)],[np.float64(0.0)],[1],[0],[0],[0.6710168330027955],['star'],[np.float64(0.38)],[np.float64(-0.0044444444444444444)],[1],[0],[0],[0.8297016249998705],"['right_image', 'right_rectangle']",0,1,1,1,16.514193499999237,,16.5077681249968,16.514193499999237,16.514193499999237,16.514193499999237,16.514193499999237,16.514193499999237,0.036609333008527756,17.179073667008197,[np.float64(0.03333333333333333)],[np.float64(0.0)],[1],[0],[0],[0.6710168330027955],['star'],17.21505833300762,17.21997433299839,17.21997433299839,17.21997433299839,17.21997433299839,17.22822454200359,0.03584512500674464,18.045046625004034,[np.float64(0.38)],[np.float64(-0.0044444444444444444)],[1],[0],[0],[0.8297016249998705],"['right_image', 'right_rectangle']",,3,001,2025-11-13_11h02.48.368,animal words,,2025.1.1,None,2025-11-13 11h03.43.153946 +0530,
stimuli/pig.png,stimuli/dog.png,stimuli/pig.wav,stimuli/pig.png,2,2,0,[np.float64(0.024444444444444446)],[np.float64(-0.0077777777777777776)],[1],[0],[0],[0.9272353339911206],['star'],[np.float64(-0.31666666666666665)],[np.float64(0.056666666666666664)],[1],[0],[0],[1.8691031670023222],"['left_image', 'left_rectangle']",0,2,2,2,18.0894382080005,,18.084323375005624,18.0894382080005,18.0894382080005,18.0894382080005,18.0894382080005,18.0894382080005,0.029923791997134686,19.01185195799917,[np.float64(0.024444444444444446)],[np.float64(-0.0077777777777777776)],[1],[0],[0],[0.9272353339911206],['star'],19.05019579200598,19.05520729199634,19.05520729199634,19.05520729199634,19.05520729199634,19.06071408300777,0.03817700000945479,20.919592082995223,[np.float64(-0.31666666666666665)],[np.float64(0.056666666666666664)],[1],[0],[0],[1.8691031670023222],"['left_image', 'left_rectangle']",20.651659124996513,3,001,2025-11-13_11h02.48.368,animal words,,2025.1.1,None,2025-11-13 11h03.43.153946 +0530,
stimuli/tiger.png,stimuli/penguin.png,stimuli/penguin.wav,stimuli/penguin.png,3,3,0,[np.float64(0.015555555555555555)],[np.float64(0.014444444444444444)],[1],[0],[0],[1.2293340409960365],['star'],[np.float64(0.4011111111111111)],[np.float64(-0.01888888888888889)],[1],[0],[0],[1.3000486249948153],"['right_image', 'right_rectangle']",0,3,3,3,20.954713875005837,,20.94858229199599,20.954713875005837,20.954713875005837,20.954713875005837,20.954713875005837,20.954713875005837,0.028914750000694767,22.178186167002423,[np.float64(0.015555555555555555)],[np.float64(0.014444444444444444)],[1],[0],[0],[1.2293340409960365],['star'],22.214250707998872,22.219111583006452,22.219111583006452,22.219111583006452,22.219111583006452,22.227422958004173,0.035931584003265016,23.514703125008964,[np.float64(0.4011111111111111)],[np.float64(-0.01888888888888889)],[1],[0],[0],[1.3000486249948153],"['right_image', 'right_rectangle']",,3,001,2025-11-13_11h02.48.368,animal words,,2025.1.1,None,2025-11-13 11h03.43.153946 +0530,
