reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49.0,60.0,89.0,0,0,0,l,14.08483070798684,None,0,0,0,4,0.10693633294431493,,0.09362266695825383,0.10693633294431493,0.9986735419952311,0.9986735419952311,1.1050257919705473,15.518074666964822,l,14.08483070798684,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
27.0,50.0,21.0,1,1,0,l,9.403658416005783,None,0,1,1,2,15.550600582966581,,15.524360082985368,15.550600582966581,16.51549774996238,16.51549774996238,16.548724041960668,25.937591624970082,l,9.403658416005783,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
11.0,30.0,7.0,2,2,0,t,12.746375957969576,None,0,2,2,0,25.97203504195204,,25.94815249997191,25.97203504195204,26.93190649995813,26.93190649995813,26.96577108296333,39.68877404194791,t,12.746375957969576,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
67.0,75.0,119.0,3,3,0,t,2.9118489169632085,None,0,3,3,5,39.71515033295145,,39.70107349997852,39.71515033295145,40.68953524995595,40.68953524995595,40.70407054194948,43.607009166968055,t,2.9118489169632085,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
40.0,55.0,62.0,4,4,0,t,6.61520629102597,None,0,4,4,3,43.62296437495388,,43.613198999955785,43.62296437495388,44.60684079199564,44.60684079199564,44.615909457963426,51.236808499961626,t,6.61520629102597,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
15.0,35.0,13.0,5,5,0,t,4.641942750022281,None,0,5,5,1,51.26899583294289,,51.2538341669715,51.26899583294289,52.232085082971025,52.232085082971025,52.265387291961815,56.88444604194956,t,4.641942750022281,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
78.0,80.0,162.0,6,6,0,t,9.048830458021257,None,0,6,6,6,56.90417754196096,,56.89217187499162,56.90417754196096,57.882138624961954,57.882138624961954,57.89859999995679,66.94379045796813,t,9.048830458021257,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
27.0,50.0,21.0,7,0,1,l,8.075078500027303,None,1,0,7,2,66.9648729999899,,66.95444287499413,66.9648729999899,67.93841449997853,67.93841449997853,67.95349520799937,76.0360314999707,l,8.075078500027303,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
40.0,55.0,62.0,8,1,1,t,2.996817375009414,None,1,1,8,3,76.05418191698845,,76.04416958295042,76.05418191698845,77.03855116694467,77.03855116694467,77.04514337499859,80.04108154197456,t,2.996817375009414,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
15.0,35.0,13.0,9,2,1,t,7.678438916977029,None,1,2,9,1,80.06767295795726,,80.05601154197939,80.06767295795726,81.03898762498284,81.03898762498284,81.06524587498279,88.72756887495052,t,7.678438916977029,None,3,001,2025-10-24_14h36.30.442,delay discounting,,2025.1.1,None,2025-10-24 14h36.50.783903 +0530,
