l_image,r_image,target_sound,correct,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,start_l_rect.started,start_r_rect.started,start_l_image.started,start_r_image.started,star.started,start_mouse.started,start.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trial_sound.started,trial_mouse.started,trial_sound.stopped,trial.stopped,trials.trial_mouse.x,trials.trial_mouse.y,trials.trial_mouse.leftButton,trials.trial_mouse.midButton,trials.trial_mouse.rightButton,trials.trial_mouse.time,trials.trial_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/dog.png,stimuli/pig.png,stimuli/dog.wav,stimuli/dog.png,0,0,0,[np.float64(-0.011111111111111112)],[np.float64(0.02)],[1],[0],[0],[2.943940458004363],['star'],[np.float64(-0.25333333333333335)],[np.float64(-0.0033333333333333335)],[1],[0],[0],[2.0593170000065584],"['left_image', 'left_rectangle']",0,0,0,0,0.1719479159801267,,0.13535641599446535,0.1719479159801267,0.1719479159801267,0.1719479159801267,0.1719479159801267,0.1719479159801267,0.1353852089960128,3.0798281659954228,[np.float64(-0.011111111111111112)],[np.float64(0.02)],[1],[0],[0],[2.943940458004363],['star'],3.1445739999762736,3.15069929099991,3.15069929099991,3.15069929099991,3.15069929099991,3.155921916322162,0.06454900000244379,4.746071665984346,5.204330040985951,[np.float64(-0.25333333333333335)],[np.float64(-0.0033333333333333335)],[1],[0],[0],[2.0593170000065584],"['left_image', 'left_rectangle']",6,001,2025-11-18_12h04.57.501,animal words,,2025.1.1,None,2025-11-18 12h05.09.734013 +0530,
stimuli/penguin.png,stimuli/tiger.png,stimuli/tiger.wav,stimuli/tiger.png,1,1,0,[np.float64(-0.034444444444444444)],[np.float64(0.0022222222222222222)],[1],[0],[0],[2.8659084170067217],['star'],[np.float64(0.3055555555555556)],[np.float64(0.0)],[1],[0],[0],[1.9436993749986868],"['right_image', 'right_rectangle']",0,1,1,1,5.244254040997475,,5.23831975000212,5.244254040997475,5.244254040997475,5.244254040997475,5.244254040997475,5.244254040997475,0.03378516697557643,8.10458945800201,[np.float64(-0.034444444444444444)],[np.float64(0.0022222222222222222)],[1],[0],[0],[2.8659084170067217],['star'],8.143597040994791,8.148489749990404,8.148489749990404,8.148489749990404,8.148489749990404,8.153016207984184,0.03871891601011157,9.74515762500232,10.087787750002462,[np.float64(0.3055555555555556)],[np.float64(0.0)],[1],[0],[0],[1.9436993749986868],"['right_image', 'right_rectangle']",6,001,2025-11-18_12h04.57.501,animal words,,2025.1.1,None,2025-11-18 12h05.09.734013 +0530,
stimuli/pig.png,stimuli/dog.png,stimuli/pig.wav,stimuli/pig.png,2,2,0,[np.float64(0.0077777777777777776)],[np.float64(-0.016666666666666666)],[1],[0],[0],[2.9998892919975333],['star'],[np.float64(-0.31555555555555553)],[np.float64(0.013333333333333334)],[1],[0],[0],[3.484638208989054],"['left_image', 'left_rectangle']",0,2,2,2,10.12580045798677,,10.120092749973992,10.12580045798677,10.12580045798677,10.12580045798677,10.12580045798677,10.12580045798677,0.03209770901594311,13.120335665997118,[np.float64(0.0077777777777777776)],[np.float64(-0.016666666666666666)],[1],[0],[0],[2.9998892919975333],['star'],13.168954583001323,13.1738801249885,13.1738801249885,13.1738801249885,13.1738801249885,13.185512166660436,0.04839470799197443,14.777073999983259,16.65428783299285,[np.float64(-0.31555555555555553)],[np.float64(0.013333333333333334)],[1],[0],[0],[3.484638208989054],"['left_image', 'left_rectangle']",6,001,2025-11-18_12h04.57.501,animal words,,2025.1.1,None,2025-11-18 12h05.09.734013 +0530,
stimuli/tiger.png,stimuli/penguin.png,stimuli/penguin.wav,stimuli/penguin.png,3,3,0,[np.float64(-0.03333333333333333)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.3987649169866927],['star'],[np.float64(0.38666666666666666)],[np.float64(0.01)],[1],[0],[0],[2.0452564590086695],"['right_image', 'right_rectangle']",0,3,3,3,16.69205166597385,,16.686293624981772,16.69205166597385,16.69205166597385,16.69205166597385,16.69205166597385,16.69205166597385,0.03180741600226611,18.08540820798953,[np.float64(-0.03333333333333333)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.3987649169866927],['star'],18.124553957983153,18.129800750000868,18.129800750000868,18.129800750000868,18.129800750000868,18.13280350000132,0.038896874990314245,19.725688082980923,20.170215790974908,[np.float64(0.38666666666666666)],[np.float64(0.01)],[1],[0],[0],[2.0452564590086695],"['right_image', 'right_rectangle']",6,001,2025-11-18_12h04.57.501,animal words,,2025.1.1,None,2025-11-18 12h05.09.734013 +0530,
