l_image,r_image,target_sound,correct,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,start_l_rect.started,start_r_rect.started,start_l_image.started,start_r_image.started,star.started,start_mouse.started,start.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trial_sound.started,trial_mouse.started,trial_sound.stopped,trial.stopped,trials.trial_mouse.x,trials.trial_mouse.y,trials.trial_mouse.leftButton,trials.trial_mouse.midButton,trials.trial_mouse.rightButton,trials.trial_mouse.time,trials.trial_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/dog.png,stimuli/pig.png,stimuli/dog.wav,stimuli/dog.png,0,0,0,[np.float64(-0.014444444444444444)],[np.float64(0.0022222222222222222)],[1],[0],[0],[13.006226792000234],['star'],[np.float64(-0.30333333333333334)],[np.float64(0.006666666666666667)],[1],[0],[0],[1.9417372089956189],"['left_image', 'left_rectangle']",0,0,0,0,0.14828975000273203,,0.12441841699910583,0.14828975000273203,0.14828975000273203,0.14828975000273203,0.14828975000273203,0.14828975000273203,0.12445699999807402,13.131327125003736,[np.float64(-0.014444444444444444)],[np.float64(0.0022222222222222222)],[1],[0],[0],[13.006226792000234],['star'],13.195421708005597,13.202022167002724,13.202022167002724,13.202022167002724,13.202022167002724,13.202272916333945,0.06356408300052863,14.794045583003026,15.13765675000468,[np.float64(-0.30333333333333334)],[np.float64(0.006666666666666667)],[1],[0],[0],[1.9417372089956189],"['left_image', 'left_rectangle']",1,001,2025-11-13_10h56.33.257,animal words,,2025.1.1,None,2025-11-13 10h56.47.412253 +0530,
stimuli/penguin.png,stimuli/tiger.png,stimuli/tiger.wav,stimuli/tiger.png,1,1,0,[np.float64(-0.021111111111111112)],[np.float64(-0.006666666666666667)],[1],[0],[0],[1.882983958996192],['star'],[np.float64(0.21444444444444444)],[np.float64(-0.04111111111111111)],[1],[0],[0],[1.819354374994873],"['right_image', 'right_rectangle']",0,1,1,1,15.17603287500242,,15.170445499999914,15.17603287500242,15.17603287500242,15.17603287500242,15.17603287500242,15.17603287500242,0.03266583300137427,17.053745667006297,[np.float64(-0.021111111111111112)],[np.float64(-0.006666666666666667)],[1],[0],[0],[1.882983958996192],['star'],17.099485875005485,17.104569750001247,17.104569750001247,17.104569750001247,17.104569750001247,17.10245316700166,0.045596332995046396,18.693964875004895,18.91920604200277,[np.float64(0.21444444444444444)],[np.float64(-0.04111111111111111)],[1],[0],[0],[1.819354374994873],"['right_image', 'right_rectangle']",1,001,2025-11-13_10h56.33.257,animal words,,2025.1.1,None,2025-11-13 10h56.47.412253 +0530,
stimuli/pig.png,stimuli/dog.png,stimuli/pig.wav,stimuli/pig.png,2,2,0,[np.float64(0.015555555555555555)],[np.float64(-0.008888888888888889)],[1],[0],[0],[1.0181246670035762],['star'],[np.float64(-0.3088888888888889)],[np.float64(-0.03222222222222222)],[1],[0],[0],[1.5968249999932596],"['left_image', 'left_rectangle']",0,2,2,2,18.956156958003703,,18.950510708004003,18.956156958003703,18.956156958003703,18.956156958003703,18.956156958003703,18.956156958003703,0.031176500000583474,19.968974957999308,[np.float64(0.015555555555555555)],[np.float64(-0.008888888888888889)],[1],[0],[0],[1.0181246670035762],['star'],20.00884437499917,20.01351570800034,20.01351570800034,20.01351570800034,20.01351570800034,20.017937875000644,0.03962495800078614,21.641926708005485,21.606160125003953,[np.float64(-0.3088888888888889)],[np.float64(-0.03222222222222222)],[1],[0],[0],[1.5968249999932596],"['left_image', 'left_rectangle']",1,001,2025-11-13_10h56.33.257,animal words,,2025.1.1,None,2025-11-13 10h56.47.412253 +0530,
stimuli/tiger.png,stimuli/penguin.png,stimuli/penguin.wav,stimuli/penguin.png,3,3,0,[np.float64(-0.012222222222222223)],[np.float64(-0.0022222222222222222)],[1],[0],[0],[0.8326684159983415],['star'],[np.float64(0.21)],[np.float64(-0.014444444444444444)],[1],[0],[0],[1.6238654580010916],"['right_image', 'right_rectangle']",0,3,3,3,21.641926708005485,,21.636192833000678,21.641926708005485,21.641926708005485,21.641926708005485,21.641926708005485,21.641926708005485,0.029778666998026893,22.469184125002357,[np.float64(-0.012222222222222223)],[np.float64(-0.0022222222222222222)],[1],[0],[0],[0.8326684159983415],['star'],22.511196542000107,22.515806542003702,22.515806542003702,22.515806542003702,22.515806542003702,22.51786220800277,0.04181991699442733,24.107245417006197,24.135432000002766,[np.float64(0.21)],[np.float64(-0.014444444444444444)],[1],[0],[0],[1.6238654580010916],"['right_image', 'right_rectangle']",1,001,2025-11-13_10h56.33.257,animal words,,2025.1.1,None,2025-11-13 10h56.47.412253 +0530,
