l_image,r_image,target_sound,correct,thisN,thisTrialN,thisRepN,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,start_l_rect.started,start_r_rect.started,start_l_image.started,start_r_image.started,star.started,start_mouse.started,start.stopped,trials.start_mouse.x,trials.start_mouse.y,trials.start_mouse.leftButton,trials.start_mouse.midButton,trials.start_mouse.rightButton,trials.start_mouse.time,trials.start_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trial_sound.started,trial_mouse.started,trial_sound.stopped,trial.stopped,trials.trial_mouse.x,trials.trial_mouse.y,trials.trial_mouse.leftButton,trials.trial_mouse.midButton,trials.trial_mouse.rightButton,trials.trial_mouse.time,trials.trial_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/dog.png,stimuli/pig.png,stimuli/dog.wav,stimuli/dog.png,0,0,0,[np.float64(-0.016666666666666666)],[np.float64(-0.01)],[1],[0],[0],[1.0238087080069818],['star'],[np.float64(-0.31444444444444447)],[np.float64(-0.008888888888888889)],[1],[0],[0],[1.9830961669795215],"['left_image', 'left_rectangle']",0,0,0,0,0.14034770900616422,,0.11075162500492297,0.14034770900616422,0.14034770900616422,0.14034770900616422,0.14034770900616422,0.14034770900616422,0.11077670799568295,1.1350912500056438,[np.float64(-0.016666666666666666)],[np.float64(-0.01)],[1],[0],[0],[1.0238087080069818],['star'],1.1896861670247745,1.195731292013079,1.195731292013079,1.195731292013079,1.195731292013079,1.1943678756807155,0.054347541998140514,2.795090584026184,3.1732626669981983,[np.float64(-0.31444444444444447)],[np.float64(-0.008888888888888889)],[1],[0],[0],[1.9830961669795215],"['left_image', 'left_rectangle']",10,001,2025-11-18_19h31.59.203,animal words,,2025.1.1,None,2025-11-18 19h32.53.079363 +0530,
stimuli/penguin.png,stimuli/tiger.png,stimuli/tiger.wav,stimuli/tiger.png,1,1,0,[np.float64(0.017777777777777778)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[0.8088790420151781],['star'],[np.float64(0.37222222222222223)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[1.7131834170140792],"['right_image', 'right_rectangle']",0,1,1,1,3.2146432090085,,3.2086213340226095,3.2146432090085,3.2146432090085,3.2146432090085,3.2146432090085,3.2146432090085,0.03501441699336283,4.017739041999448,[np.float64(0.017777777777777778)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[0.8088790420151781],['star'],4.058799292019103,4.063702042010846,4.063702042010846,4.063702042010846,4.063702042010846,4.0664402090013025,0.040877499995986,5.661564417008776,5.772374584019417,[np.float64(0.37222222222222223)],[np.float64(-0.0011111111111111111)],[1],[0],[0],[1.7131834170140792],"['right_image', 'right_rectangle']",10,001,2025-11-18_19h31.59.203,animal words,,2025.1.1,None,2025-11-18 19h32.53.079363 +0530,
stimuli/pig.png,stimuli/dog.png,stimuli/pig.wav,stimuli/pig.png,2,2,0,[np.float64(0.006666666666666667)],[np.float64(-0.008888888888888889)],[1],[0],[0],[1.199698166019516],['star'],[np.float64(-0.25666666666666665)],[np.float64(0.0033333333333333335)],[1],[0],[0],[1.828016417013714],"['left_image', 'left_rectangle']",0,2,2,2,5.808452292025322,,5.802835125010461,5.808452292025322,5.808452292025322,5.808452292025322,5.808452292025322,5.808452292025322,0.03027354201185517,7.002864084002795,[np.float64(0.006666666666666667)],[np.float64(-0.008888888888888889)],[1],[0],[0],[1.199698166019516],['star'],7.051736375025939,7.059233625011984,7.059233625011984,7.059233625011984,7.059233625011984,7.067103083668432,0.04863266702159308,8.66120937501546,8.880681459006155,[np.float64(-0.25666666666666665)],[np.float64(0.0033333333333333335)],[1],[0],[0],[1.828016417013714],"['left_image', 'left_rectangle']",10,001,2025-11-18_19h31.59.203,animal words,,2025.1.1,None,2025-11-18 19h32.53.079363 +0530,
stimuli/tiger.png,stimuli/penguin.png,stimuli/penguin.wav,stimuli/penguin.png,3,3,0,[np.float64(0.043333333333333335)],[np.float64(-0.01)],[1],[0],[0],[0.602396125002997],['star'],[np.float64(0.31666666666666665)],[np.float64(0.03)],[1],[0],[0],[1.5193329579778947],"['right_image', 'right_rectangle']",0,3,3,3,8.960860792023595,,8.951699209021172,8.960860792023595,8.960860792023595,8.960860792023595,8.960860792023595,8.960860792023595,0.06675820797681808,9.554719125007978,[np.float64(0.043333333333333335)],[np.float64(-0.01)],[1],[0],[0],[0.602396125002997],['star'],9.602880375023233,9.607783584011486,9.607783584011486,9.607783584011486,9.607783584011486,9.603362500009826,0.04797458299435675,,11.12264833401423,[np.float64(0.31666666666666665)],[np.float64(0.03)],[1],[0],[0],[1.5193329579778947],"['right_image', 'right_rectangle']",10,001,2025-11-18_19h31.59.203,animal words,,2025.1.1,None,2025-11-18 19h32.53.079363 +0530,
