pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.511542082997039,None,0,0,0,0,,,,,0.0575587089988403,,0.04974541699630208,0.0575587089988403,1.015339417004725,1.015339417004725,1.015339417004725,1.015339417004725,1.0464647089975188,2.0020564169972204,2.0020564169972204,2.9574562500056345,x,1,0.511542082997039,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,1,1,0,v,1,0.4276303340011509,None,0,1,1,1,,,,,2.9624900839990005,,2.957743000006303,2.9624900839990005,3.9490186250041006,3.9490186250041006,3.9490186250041006,3.9490186250041006,3.960475708998274,4.951057291997131,4.951057291997131,5.385186875006184,v,1,0.4276303340011509,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,2,2,0,c,0,0.37907979199371766,None,0,2,2,2,,,,,5.398618834005902,,5.38584279200586,5.398618834005902,6.384511875003227,6.384511875003227,6.384511875003227,6.384511875003227,6.393025666999165,7.384500375002972,7.384500375002972,7.768304249999346,c,0,0.37907979199371766,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,3,3,0,z,1,0.3804532500071218,None,0,3,3,3,,,,,7.779462542006513,,7.768839709009626,7.779462542006513,8.768222833998152,8.768222833998152,8.768222833998152,8.768222833998152,8.775753959009307,9.767145375008113,9.767145375008113,10.151040709009976,z,1,0.3804532500071218,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,4,0,1,x,1,0.26135333300044294,None,1,0,4,0,,,,,10.162779749996844,,10.15152041699912,10.162779749996844,11.150617874998716,11.150617874998716,11.150617874998716,11.150617874998716,11.160476709002978,12.151145334006287,12.151145334006287,12.417465792008443,x,1,0.26135333300044294,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,5,1,1,v,1,0.37062983300711494,None,1,1,5,1,,,,,12.42911029199604,,12.417970334005076,12.42911029199604,13.41684904199792,13.41684904199792,13.41684904199792,13.41684904199792,13.426926041996921,14.417681624996476,14.417681624996476,14.795257625009981,v,1,0.37062983300711494,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,6,2,1,c,0,0.5589191670005675,None,1,2,6,2,,,,,14.806297458999325,,14.795822917003534,14.806297458999325,15.79383104199951,15.79383104199951,15.79383104199951,15.79383104199951,15.800478250006563,16.793691708997358,16.793691708997358,17.36212095900555,c,0,0.5589191670005675,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,7,3,1,z,1,0.4576236249995418,None,1,3,7,3,,,,,17.373813917001826,,17.362994459006586,17.373813917001826,18.360354250005912,18.360354250005912,18.360354250005912,18.360354250005912,18.36643350000668,19.359677458996885,19.359677458996885,19.818715542001883,z,1,0.4576236249995418,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,8,0,2,x,1,0.3154815829911968,None,2,0,8,0,,,,,19.82570425000449,,19.81926570899668,19.82570425000449,20.817677125000046,20.817677125000046,20.817677125000046,20.817677125000046,20.817677125000046,21.817828583996743,21.817828583996743,22.14566945900151,x,1,0.3154815829911968,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,9,1,2,v,1,0.29330704199674074,None,2,1,9,1,,,,,22.158526667000842,,22.146554500010097,22.158526667000842,23.143793958995957,23.143793958995957,23.143793958995957,23.143793958995957,23.150375042008818,24.143730374998995,24.143730374998995,24.445724709003116,v,1,0.29330704199674074,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,10,2,2,c,0,0.36535470800299663,None,2,2,10,2,,,,,24.458110874998965,,24.446483417006675,24.458110874998965,25.444097750005312,25.444097750005312,25.444097750005312,25.444097750005312,25.451032584009226,26.443716709007276,26.443716709007276,26.812192917001084,c,0,0.36535470800299663,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,11,3,2,z,1,0.36665358299796935,None,2,3,11,3,,,,,26.825144125003135,,26.81303095900512,26.825144125003135,27.81026045900944,27.81026045900944,27.81026045900944,27.81026045900944,27.81631666699832,28.810322334000375,28.810322334000375,29.182835542000248,z,1,0.36665358299796935,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,12,0,3,x,1,0.36594041700300295,None,3,0,12,0,,,,,29.193239458996686,,29.183864500009804,29.193239458996686,30.177152542004478,30.177152542004478,30.177152542004478,30.177152542004478,30.183649917002185,31.17702591700072,31.17702591700072,31.54466387499997,x,1,0.36594041700300295,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,13,1,3,v,1,0.2923209169966867,None,3,1,13,1,,,,,31.556438625004375,,31.545181791996583,31.556438625004375,32.5434468750027,32.5434468750027,32.5434468750027,32.5434468750027,32.550205042003654,33.54356458400434,33.54356458400434,33.84499854200112,v,1,0.2923209169966867,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,14,2,3,c,0,0.25107595800363924,None,3,2,14,2,,,,,33.85684904200025,,33.84558341700176,33.85684904200025,34.84380825000699,34.84380825000699,34.84380825000699,34.84380825000699,34.850565125001594,35.843669499998214,35.843669499998214,36.10081837500911,c,0,0.25107595800363924,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,15,3,3,z,1,0.35009004099993035,None,3,3,15,3,,,,,36.11262358400563,,36.101313749997644,36.11262358400563,37.10081750000245,37.10081750000245,37.10081750000245,37.10081750000245,37.110245333999046,38.09364162500424,38.09364162500424,38.44538154199836,z,1,0.35009004099993035,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,16,0,4,x,1,0.4182347909954842,None,4,0,16,0,,,,,38.45756912500656,,38.446233791997656,38.45756912500656,39.443594625001424,39.443594625001424,39.443594625001424,39.443594625001424,39.44978529200307,40.443456292006886,40.443456292006886,40.86777329200413,x,1,0.4182347909954842,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,17,1,4,v,1,0.5190227499988396,None,4,1,17,1,,,,,40.87881820900657,,40.868299750000006,40.87881820900657,41.86737637499755,41.86737637499755,41.86737637499755,41.86737637499755,41.88917062499968,42.8668793340039,42.8668793340039,43.39506712500588,v,1,0.5190227499988396,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,18,2,4,c,0,0.409989666994079,None,4,2,18,2,,,,,43.40686004199961,,43.395711500008474,43.40686004199961,44.39354900000035,44.39354900000035,44.39354900000035,44.39354900000035,44.39912987500429,45.39350791700417,45.39350791700417,45.811656125006266,c,0,0.409989666994079,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,19,3,4,z,1,0.3431207920075394,None,4,3,19,3,,,,,45.823263792000944,,45.81219641699863,45.823263792000944,46.81024766700284,46.81024766700284,46.81024766700284,46.81024766700284,46.81683037499897,47.81038916700345,47.81038916700345,48.161886500005494,z,1,0.3431207920075394,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,20,0,5,x,1,0.28582550000282936,None,5,0,20,0,,,,,48.17431229200156,,48.16246950000641,48.17431229200156,49.16047166699718,49.16047166699718,49.16047166699718,49.16047166699718,49.16717395900923,50.15951195900561,50.15951195900561,50.45101658400381,x,1,0.28582550000282936,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,21,1,5,v,1,0.03853529100888409,None,5,1,21,1,,,,,50.46231870900374,,50.45149925000442,50.46231870900374,51.45007854200958,51.45007854200958,51.45007854200958,51.45007854200958,51.46039295900846,52.4508082090033,52.4508082090033,52.494568624999374,v,1,0.03853529100888409,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,22,2,5,c,0,0.21653041600075085,None,5,2,22,2,,,,,52.50385712500429,,52.49511633400107,52.50385712500429,53.48457675000827,53.48457675000827,53.48457675000827,53.48457675000827,53.50011516700033,54.48366295899905,54.48366295899905,54.713327959005255,c,0,0.21653041600075085,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,23,3,5,z,1,0.37879620799503755,None,5,3,23,3,,,,,54.726882250004564,,54.7137535840011,54.726882250004564,55.71038825000869,55.71038825000869,55.71038825000869,55.71038825000869,55.716290249998565,56.710318459008704,56.710318459008704,57.09427808399778,z,1,0.37879620799503755,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,24,0,6,x,1,0.29567379200307187,None,6,0,24,0,,,,,57.10640025000612,,57.094830542002455,57.10640025000612,58.08445012499578,58.08445012499578,58.08445012499578,58.08445012499578,58.098372209002264,59.08344341701013,59.08344341701013,59.384412375002285,x,1,0.29567379200307187,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,25,1,6,v,1,0.2646863330010092,None,6,1,25,1,,,,,59.395974917002604,,59.3849152920011,59.395974917002604,60.38298333399871,60.38298333399871,60.38298333399871,60.38298333399871,60.39382862500497,61.384428917008336,61.384428917008336,61.65058095900167,v,1,0.2646863330010092,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,26,2,6,c,0,0.5513692919921596,None,6,2,26,2,,,,,61.6623816670035,,61.65108016700833,61.6623816670035,62.65062666700396,62.65062666700396,62.65062666700396,62.65062666700396,62.66021608399751,63.643504250008846,63.643504250008846,64.20060158400156,c,0,0.5513692919921596,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,27,3,6,z,1,0.3103879589907592,None,6,3,27,3,,,,,64.22669454199786,,64.20107650000136,64.22669454199786,65.20028404200275,65.20028404200275,65.20028404200275,65.20028404200275,65.21631375000288,66.2004656670033,66.2004656670033,66.52082341699861,z,1,0.3103879589907592,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,28,0,7,x,1,0.2725382089993218,None,7,0,28,0,,,,,66.53092429200478,,66.52136716700625,66.53092429200478,67.51661845900526,67.51661845900526,67.51661845900526,67.51661845900526,67.52688200000557,68.51737262500683,68.51737262500683,68.79534420900745,x,1,0.2725382089993218,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,29,1,7,v,1,0.25435245799599215,None,7,1,29,1,,,,,68.80818587500835,,68.7961183340085,68.80818587500835,69.7936579590023,69.7936579590023,69.7936579590023,69.7936579590023,69.8000104590028,70.79343695900752,70.79343695900752,71.05112708400702,v,1,0.25435245799599215,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,30,2,7,c,0,0.2638991249987157,None,7,2,30,2,,,,,71.0626890840067,,71.05161495899665,71.0626890840067,72.05111920900526,72.05111920900526,72.05111920900526,72.05111920900526,72.05938262499694,73.04980400000932,73.04980400000932,73.3174896670098,c,0,0.2638991249987157,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,31,3,7,z,1,0.3595518750080373,None,7,3,31,3,,,,,73.32930187499733,,73.31805258399982,73.32930187499733,74.31778637500247,74.31778637500247,74.31778637500247,74.31778637500247,74.3269889170042,75.31721791700693,75.31721791700693,75.67854141700082,z,1,0.3595518750080373,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,32,0,8,x,1,0.24613595800474286,None,8,0,32,0,,,,,75.69065395899815,,75.67933770900709,75.69065395899815,76.67689316700853,76.67689316700853,76.67689316700853,76.67689316700853,76.68297129200073,77.67711295900517,77.67711295900517,77.92836195899872,x,1,0.24613595800474286,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,33,1,8,v,1,0.2635685000132071,None,8,1,33,1,,,,,77.94075112500286,,77.92898733400216,77.94075112500286,78.92665383400163,78.92665383400163,78.92665383400163,78.92665383400163,78.93379516700224,79.92697187500016,79.92697187500016,80.19496475000051,v,1,0.2635685000132071,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,34,2,8,c,0,0.30380875000264496,None,8,2,34,2,,,,,80.20694916699722,,80.19558083399897,80.20694916699722,81.19361958400987,81.19361958400987,81.19361958400987,81.19361958400987,81.20039962499868,82.193651959009,82.193651959009,82.50116258399794,c,0,0.30380875000264496,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-150,z,35,3,8,z,1,0.30808254099974874,None,8,3,35,3,,,,,82.51308945899655,,82.50164454200421,82.51308945899655,83.50060737499734,83.50060737499734,83.50060737499734,83.50060737499734,83.5102847500093,84.5003407089971,84.5003407089971,84.81149116699817,z,1,0.30808254099974874,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
-50,x,36,0,9,x,1,0.32223745800729375,None,9,0,36,0,,,,,84.82457108399831,,84.81205991700699,84.82457108399831,85.81309125000553,85.81309125000553,85.81309125000553,85.81309125000553,85.82665991700196,86.8099962920096,86.8099962920096,87.13460166699952,x,1,0.32223745800729375,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
150,v,37,1,9,v,1,0.26393070800986607,None,9,1,37,1,,,,,87.14548866699624,,87.13531900000817,87.14548866699624,88.13389625000127,88.13389625000127,88.13389625000127,88.13389625000127,88.14371816700441,89.12938954200945,89.12938954200945,89.39481541700661,v,1,0.26393070800986607,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
50,c ,38,2,9,c,0,0.27582595800049603,None,9,2,38,2,,,,,89.40695933401003,,89.39541254199867,89.40695933401003,90.39343895899947,90.39343895899947,90.39343895899947,90.39343895899947,90.39887466700748,91.39340666700446,91.39340666700446,91.67820624999877,c,0,0.27582595800049603,None,,,,,3,001,2025-10-02_14h39.47.723,Motor Sequence Learning,,2025.1.1,None,2025-10-02 14h40.30.904339 +0530,
